student_id,grade,state_code,state_name,city_tier,subscription_type,gender,age_group,enrollment_cohort,is_jee_aspirant,is_neet_aspirant
STU000048,Grade 12,MP,Madhya Pradesh,Tier 2,Basic,Male,16-18,2023-05,True,False
STU000049,Grade 11,DL,Delhi,Tier 1,Basic,Female,16-18,2023-05,False,True
STU000050,Grade 11,MH,Maharashtra,Tier 1,Basic,Female,16-18,2023-04,False,True
STU000051,Grade 9,UP,Uttar Pradesh,Tier 2,Free,Female,14-15,2023-12,False,False
STU000052,Grade 12,BR,Bihar,Tier 2,Basic,Female,16-18,2023-05,True,True
STU000053,Grade 10,TN,Tamil Nadu,Tier 2,Basic,Male,14-15,2023-04,False,False
STU000054,Grade 9,KA,Karnataka,Tier 2,Basic,Male,14-15,2023-05,False,False
STU000055,Grade 11,WB,West Bengal,Tier 2,Basic,Male,16-18,2023-08,False,False
STU000056,Grade 10,RJ,Rajasthan,Tier 2,Basic,Female,14-15,2023-03,False,False
STU000057,Grade 10,GJ,Gujarat,Tier 1,Free,Male,14-15,2023-08,False,False
STU000058,Grade 11,MP,Madhya Pradesh,Tier 1,Premium,Male,16-18,2023-07,False,False
STU000059,Grade 11,DL,Delhi,Tier 2,Basic,Female,16-18,2023-09,False,True
STU000060,Grade 11,MH,Maharashtra,Tier 2,Basic,Female,16-18,2023-09,False,False
STU000061,Grade 12,UP,Uttar Pradesh,Tier 3,Premium,Female,16-18,2023-06,False,True
STU000062,Grade 11,BR,Bihar,Tier 2,Basic,Female,16-18,2023-04,False,False
STU000063,Grade 10,TN,Tamil Nadu,Tier 1,Basic,Male,14-15,2023-10,False,False
STU000064,Grade 9,KA,Karnataka,Tier 1,Premium,Male,14-15,2023-09,False,False
STU000065,Grade 10,WB,West Bengal,Tier 2,Free,Female,14-15,2023-07,False,False
STU000066,Grade 9,RJ,Rajasthan,Tier 2,Premium,Female,14-15,2023-08,False,False
STU000067,Grade 12,GJ,Gujarat,Tier 2,Free,Female,16-18,2023-07,False,True
STU000068,Grade 12,MP,Madhya Pradesh,Tier 2,Basic,Female,16-18,2023-08,True,False
STU000069,Grade 12,DL,Delhi,Tier 3,Free,Male,16-18,2023-03,True,True
STU000070,Grade 12,MH,Maharashtra,Tier 1,Free,Male,16-18,2023-03,False,False
STU000071,Grade 9,UP,Uttar Pradesh,Tier 2,Basic,Male,14-15,2023-03,False,False
STU000072,Grade 12,BR,Bihar,Tier 2,Basic,Female,16-18,2023-05,True,False
STU000073,Grade 9,TN,Tamil Nadu,Tier 3,Premium,Female,14-15,2023-06,False,False
STU000074,Grade 9,KA,Karnataka,Tier 2,Free,Female,14-15,2023-03,False,False
STU000075,Grade 11,WB,West Bengal,Tier 3,Premium,Male,16-18,2023-06,False,False
STU000076,Grade 12,RJ,Rajasthan,Tier 1,Free,Male,16-18,2023-12,False,False
STU000077,Grade 10,GJ,Gujarat,Tier 3,Basic,Female,14-15,2023-10,False,False
STU000078,Grade 12,MP,Madhya Pradesh,Tier 2,Basic,Male,16-18,2023-02,True,False
STU000079,Grade 12,DL,Delhi,Tier 2,Basic,Female,16-18,2023-12,False,True
STU000080,Grade 9,MH,Maharashtra,Tier 2,Basic,Female,14-15,2023-04,False,False
STU000081,Grade 9,UP,Uttar Pradesh,Tier 1,Premium,Male,14-15,2023-05,False,False
STU000082,Grade 10,BR,Bihar,Tier 3,Premium,Female,14-15,2023-05,False,False
STU000083,Grade 11,TN,Tamil Nadu,Tier 2,Basic,Female,16-18,2023-01,False,False
STU000084,Grade 12,KA,Karnataka,Tier 1,Basic,Male,16-18,2023-12,False,True
STU000085,Grade 10,WB,West Bengal,Tier 1,Basic,Male,14-15,2023-06,False,False
STU000086,Grade 11,RJ,Rajasthan,Tier 2,Free,Male,16-18,2023-05,True,False
STU000087,Grade 9,GJ,Gujarat,Tier 2,Free,Male,14-15,2023-03,False,False
STU000088,Grade 9,MP,Madhya Pradesh,Tier 2,Premium,Female,14-15,2023-10,False,False
STU000089,Grade 10,DL,Delhi,Tier 1,Free,Male,14-15,2023-03,False,False
STU000090,Grade 12,MH,Maharashtra,Tier 3,Free,Female,16-18,2023-08,False,False
STU000091,Grade 10,UP,Uttar Pradesh,Tier 2,Basic,Female,14-15,2023-11,False,False
STU000092,Grade 12,BR,Bihar,Tier 3,Premium,Female,16-18,2023-01,False,False
STU000093,Grade 9,TN,Tamil Nadu,Tier 1,Basic,Male,14-15,2023-02,False,False
STU000094,Grade 12,KA,Karnataka,Tier 1,Premium,Male,16-18,2023-02,True,False
STU000095,Grade 11,WB,West Bengal,Tier 2,Premium,Female,16-18,2023-09,False,True
STU000096,Grade 11,RJ,Rajasthan,Tier 3,Basic,Female,16-18,2023-07,False,False
STU000097,Grade 12,GJ,Gujarat,Tier 3,Basic,Female,16-18,2023-11,True,False
STU000098,Grade 11,MP,Madhya Pradesh,Tier 3,Free,Male,16-18,2023-12,False,False
STU000099,Grade 12,DL,Delhi,Tier 3,Free,Female,16-18,2023-11,True,True
STU000100,Grade 10,MH,Maharashtra,Tier 2,Free,Male,14-15,2023-02,False,False
STU000101,Grade 9,UP,Uttar Pradesh,Tier 1,Free,Male,14-15,2023-04,False,False
STU000102,Grade 11,BR,Bihar,Tier 2,Free,Female,16-18,2023-10,True,False
STU000103,Grade 9,TN,Tamil Nadu,Tier 1,Free,Male,14-15,2023-01,False,False
STU000104,Grade 11,KA,Karnataka,Tier 2,Free,Male,16-18,2023-05,True,True
STU000105,Grade 9,WB,West Bengal,Tier 2,Basic,Male,14-15,2023-09,False,False
STU000106,Grade 9,RJ,Rajasthan,Tier 2,Basic,Male,14-15,2023-02,False,False
STU000107,Grade 12,GJ,Gujarat,Tier 2,Premium,Other,16-18,2023-09,True,False
STU000108,Grade 11,MP,Madhya Pradesh,Tier 1,Premium,Male,16-18,2023-12,True,True
STU000109,Grade 12,DL,Delhi,Tier 2,Premium,Male,16-18,2023-10,True,True
STU000110,Grade 9,MH,Maharashtra,Tier 2,Basic,Male,14-15,2023-09,False,False
STU000111,Grade 12,UP,Uttar Pradesh,Tier 2,Free,Male,16-18,2023-07,True,False
STU000112,Grade 12,BR,Bihar,Tier 2,Basic,Female,16-18,2023-04,True,True
STU000113,Grade 11,TN,Tamil Nadu,Tier 2,Basic,Male,16-18,2023-08,True,True
STU000114,Grade 10,KA,Karnataka,Tier 3,Free,Male,14-15,2023-03,False,False
STU000115,Grade 10,WB,West Bengal,Tier 1,Free,Male,14-15,2023-04,False,False
STU000116,Grade 9,RJ,Rajasthan,Tier 3,Free,Other,14-15,2023-08,False,False
STU000117,Grade 12,GJ,Gujarat,Tier 1,Basic,Male,16-18,2023-01,False,False
STU000118,Grade 11,MP,Madhya Pradesh,Tier 3,Premium,Female,16-18,2023-07,True,False
STU000119,Grade 11,DL,Delhi,Tier 1,Basic,Female,16-18,2023-08,True,False
STU000120,Grade 11,MH,Maharashtra,Tier 3,Free,Male,16-18,2023-12,False,True
STU000121,Grade 11,UP,Uttar Pradesh,Tier 2,Basic,Female,16-18,2023-01,True,True
STU000122,Grade 11,BR,Bihar,Tier 1,Free,Male,16-18,2023-02,True,False
STU000123,Grade 9,TN,Tamil Nadu,Tier 3,Premium,Male,14-15,2023-05,False,False
STU000124,Grade 12,KA,Karnataka,Tier 2,Premium,Female,16-18,2023-03,True,False
STU000125,Grade 9,WB,West Bengal,Tier 1,Free,Male,14-15,2023-01,False,False
STU000126,Grade 10,RJ,Rajasthan,Tier 2,Premium,Male,14-15,2023-02,False,False
STU000127,Grade 10,GJ,Gujarat,Tier 3,Free,Female,14-15,2023-06,False,False
STU000128,Grade 11,MP,Madhya Pradesh,Tier 2,Basic,Female,16-18,2023-05,True,False
STU000129,Grade 9,DL,Delhi,Tier 3,Basic,Male,14-15,2023-05,False,False
STU000130,Grade 9,MH,Maharashtra,Tier 3,Basic,Female,14-15,2023-04,False,False
STU000131,Grade 12,UP,Uttar Pradesh,Tier 2,Premium,Female,16-18,2023-02,False,False
STU000132,Grade 11,BR,Bihar,Tier 1,Basic,Female,16-18,2023-01,True,False
STU000133,Grade 9,TN,Tamil Nadu,Tier 1,Premium,Male,14-15,2023-07,False,False
STU000134,Grade 10,KA,Karnataka,Tier 2,Basic,Female,14-15,2023-06,False,False
STU000135,Grade 11,WB,West Bengal,Tier 2,Basic,Female,16-18,2023-10,False,False
STU000136,Grade 11,RJ,Rajasthan,Tier 2,Free,Female,16-18,2023-12,True,False
STU000137,Grade 9,GJ,Gujarat,Tier 2,Basic,Female,14-15,2023-11,False,False
STU000138,Grade 12,MP,Madhya Pradesh,Tier 1,Premium,Female,16-18,2023-10,True,False
STU000139,Grade 12,DL,Delhi,Tier 2,Basic,Female,16-18,2023-10,False,True
STU000140,Grade 9,MH,Maharashtra,Tier 1,Free,Male,14-15,2023-11,False,False
STU000141,Grade 11,UP,Uttar Pradesh,Tier 2,Free,Male,16-18,2023-11,False,True
STU000142,Grade 11,BR,Bihar,Tier 2,Basic,Female,16-18,2023-03,True,False
STU000143,Grade 9,TN,Tamil Nadu,Tier 3,Basic,Male,14-15,2023-09,False,False
STU000144,Grade 10,KA,Karnataka,Tier 1,Basic,Male,14-15,2023-12,False,False
STU000145,Grade 10,WB,West Bengal,Tier 3,Free,Male,14-15,2023-02,False,False
STU000146,Grade 10,RJ,Rajasthan,Tier 3,Free,Other,14-15,2023-03,False,False
STU000147,Grade 9,GJ,Gujarat,Tier 2,Basic,Male,14-15,2023-08,False,False
STU000148,Grade 11,MP,Madhya Pradesh,Tier 3,Free,Male,16-18,2023-11,True,False
STU000149,Grade 11,DL,Delhi,Tier 1,Premium,Female,16-18,2023-07,True,False
STU000150,Grade 10,MH,Maharashtra,Tier 3,Free,Female,14-15,2023-02,False,False
STU000151,Grade 11,UP,Uttar Pradesh,Tier 2,Free,Other,16-18,2023-03,False,False
STU000152,Grade 10,BR,Bihar,Tier 2,Basic,Male,14-15,2023-09,False,False
STU000153,Grade 9,TN,Tamil Nadu,Tier 1,Premium,Female,14-15,2023-04,False,False
STU000154,Grade 12,KA,Karnataka,Tier 3,Premium,Female,16-18,2023-10,False,True
STU000155,Grade 10,WB,West Bengal,Tier 2,Free,Female,14-15,2023-01,False,False
STU000156,Grade 9,RJ,Rajasthan,Tier 3,Premium,Female,14-15,2023-02,False,False
STU000157,Grade 11,GJ,Gujarat,Tier 3,Premium,Male,16-18,2023-01,True,False
STU000158,Grade 10,MP,Madhya Pradesh,Tier 2,Basic,Male,14-15,2023-08,False,False
STU000159,Grade 12,DL,Delhi,Tier 3,Free,Male,16-18,2023-12,False,False
STU000160,Grade 11,MH,Maharashtra,Tier 3,Basic,Male,16-18,2023-04,False,False
STU000161,Grade 11,UP,Uttar Pradesh,Tier 2,Free,Male,16-18,2023-01,False,False
STU000162,Grade 11,BR,Bihar,Tier 2,Premium,Female,16-18,2023-02,True,False
STU000163,Grade 10,TN,Tamil Nadu,Tier 2,Premium,Male,14-15,2023-12,False,False
STU000164,Grade 12,KA,Karnataka,Tier 2,Free,Female,16-18,2023-04,False,True
STU000165,Grade 10,WB,West Bengal,Tier 3,Free,Male,14-15,2023-05,False,False
STU000166,Grade 9,RJ,Rajasthan,Tier 2,Premium,Female,14-15,2023-06,False,False
STU000167,Grade 10,GJ,Gujarat,Tier 1,Basic,Female,14-15,2023-06,False,False
STU000168,Grade 11,MP,Madhya Pradesh,Tier 2,Basic,Female,16-18,2023-04,True,False
STU000169,Grade 9,DL,Delhi,Tier 2,Basic,Male,14-15,2023-09,False,False
STU000170,Grade 10,MH,Maharashtra,Tier 2,Basic,Male,14-15,2023-06,False,False
STU000171,Grade 10,UP,Uttar Pradesh,Tier 2,Basic,Female,14-15,2023-03,False,False
STU000172,Grade 12,BR,Bihar,Tier 2,Free,Male,16-18,2023-08,False,True
STU000173,Grade 12,TN,Tamil Nadu,Tier 1,Basic,Male,16-18,2023-11,False,False
STU000174,Grade 12,KA,Karnataka,Tier 1,Basic,Female,16-18,2023-09,False,False
STU000175,Grade 12,WB,West Bengal,Tier 2,Premium,Male,16-18,2023-09,False,False
STU000176,Grade 12,RJ,Rajasthan,Tier 1,Premium,Female,16-18,2023-10,False,True
STU000177,Grade 12,GJ,Gujarat,Tier 2,Free,Female,16-18,2023-11,True,False
STU000178,Grade 12,MP,Madhya Pradesh,Tier 3,Free,Female,16-18,2023-09,True,False
STU000179,Grade 11,DL,Delhi,Tier 2,Premium,Male,16-18,2023-07,False,False
STU000180,Grade 12,MH,Maharashtra,Tier 2,Basic,Female,16-18,2023-06,False,True
STU000181,Grade 9,UP,Uttar Pradesh,Tier 1,Premium,Male,14-15,2023-09,False,False
STU000182,Grade 9,BR,Bihar,Tier 2,Premium,Male,14-15,2023-10,False,False
STU000183,Grade 11,TN,Tamil Nadu,Tier 3,Free,Female,16-18,2023-07,True,True
STU000184,Grade 11,KA,Karnataka,Tier 1,Basic,Male,16-18,2023-03,True,True
STU000185,Grade 10,WB,West Bengal,Tier 2,Free,Male,14-15,2023-06,False,False
STU000186,Grade 9,RJ,Rajasthan,Tier 3,Free,Male,14-15,2023-12,False,False
STU000187,Grade 10,GJ,Gujarat,Tier 3,Basic,Other,14-15,2023-07,False,False
STU000188,Grade 12,MP,Madhya Pradesh,Tier 3,Basic,Male,16-18,2023-08,False,True
STU000189,Grade 11,DL,Delhi,Tier 3,Basic,Male,16-18,2023-11,True,True
STU000190,Grade 12,MH,Maharashtra,Tier 3,Premium,Female,16-18,2023-02,False,False
STU000191,Grade 10,UP,Uttar Pradesh,Tier 3,Free,Male,14-15,2023-06,False,False
STU000192,Grade 11,BR,Bihar,Tier 3,Premium,Male,16-18,2023-09,True,False
STU000193,Grade 12,TN,Tamil Nadu,Tier 2,Free,Male,16-18,2023-11,True,True
STU000194,Grade 10,KA,Karnataka,Tier 3,Free,Female,14-15,2023-01,False,False
STU000195,Grade 10,WB,West Bengal,Tier 1,Basic,Female,14-15,2023-11,False,False
STU000196,Grade 12,RJ,Rajasthan,Tier 1,Basic,Female,16-18,2023-06,True,False
STU000197,Grade 11,GJ,Gujarat,Tier 2,Basic,Female,16-18,2023-07,False,False
STU000198,Grade 11,MP,Madhya Pradesh,Tier 3,Basic,Female,16-18,2023-12,False,False
STU000199,Grade 11,DL,Delhi,Tier 3,Premium,Male,16-18,2023-06,False,True
STU000200,Grade 11,MH,Maharashtra,Tier 3,Premium,Female,16-18,2023-01,True,True
STU000201,Grade 12,UP,Uttar Pradesh,Tier 3,Free,Female,16-18,2023-07,True,True
STU000202,Grade 11,BR,Bihar,Tier 1,Basic,Male,16-18,2023-12,False,False
STU000203,Grade 12,TN,Tamil Nadu,Tier 3,Free,Male,16-18,2023-03,False,True
STU000204,Grade 12,KA,Karnataka,Tier 1,Premium,Female,16-18,2023-12,False,True
STU000205,Grade 11,WB,West Bengal,Tier 3,Basic,Female,16-18,2023-01,True,False
STU000206,Grade 12,RJ,Rajasthan,Tier 3,Premium,Female,16-18,2023-08,True,True
STU000207,Grade 12,GJ,Gujarat,Tier 3,Free,Male,16-18,2023-02,True,False
STU000208,Grade 12,MP,Madhya Pradesh,Tier 3,Free,Female,16-18,2023-09,False,True
STU000209,Grade 11,DL,Delhi,Tier 1,Premium,Female,16-18,2023-01,False,True
STU000210,Grade 12,MH,Maharashtra,Tier 3,Premium,Male,16-18,2023-03,True,False
STU000211,Grade 10,UP,Uttar Pradesh,Tier 2,Premium,Male,14-15,2023-06,False,False
STU000212,Grade 12,BR,Bihar,Tier 2,Basic,Female,16-18,2023-07,True,True
STU000213,Grade 11,TN,Tamil Nadu,Tier 1,Free,Female,16-18,2023-02,False,True
STU000214,Grade 11,KA,Karnataka,Tier 1,Premium,Male,16-18,2023-02,True,False
STU000215,Grade 11,WB,West Bengal,Tier 2,Free,Female,16-18,2023-11,True,False
STU000216,Grade 9,RJ,Rajasthan,Tier 2,Premium,Male,14-15,2023-10,False,False
STU000217,Grade 11,GJ,Gujarat,Tier 2,Basic,Female,16-18,2023-02,False,False
STU000218,Grade 12,MP,Madhya Pradesh,Tier 3,Basic,Male,16-18,2023-02,False,True
STU000219,Grade 11,DL,Delhi,Tier 2,Basic,Female,16-18,2023-07,False,True
STU000220,Grade 9,MH,Maharashtra,Tier 2,Premium,Male,14-15,2023-03,False,False
STU000221,Grade 11,UP,Uttar Pradesh,Tier 2,Free,Female,16-18,2023-06,False,True
STU000222,Grade 9,BR,Bihar,Tier 2,Premium,Male,14-15,2023-05,False,False
STU000223,Grade 11,TN,Tamil Nadu,Tier 3,Free,Female,16-18,2023-07,False,False
STU000224,Grade 9,KA,Karnataka,Tier 2,Premium,Female,14-15,2023-03,False,False
STU000225,Grade 11,WB,West Bengal,Tier 2,Premium,Female,16-18,2023-05,False,True
STU000226,Grade 9,RJ,Rajasthan,Tier 1,Basic,Female,14-15,2023-10,False,False
STU000227,Grade 12,GJ,Gujarat,Tier 2,Basic,Female,16-18,2023-08,False,False
STU000228,Grade 10,MP,Madhya Pradesh,Tier 2,Basic,Female,14-15,2023-12,False,False
STU000229,Grade 10,DL,Delhi,Tier 2,Free,Male,14-15,2023-04,False,False
STU000230,Grade 9,MH,Maharashtra,Tier 1,Premium,Female,14-15,2023-08,False,False
STU000231,Grade 10,UP,Uttar Pradesh,Tier 3,Free,Female,14-15,2023-12,False,False
STU000232,Grade 11,BR,Bihar,Tier 2,Basic,Male,16-18,2023-04,False,False
STU000233,Grade 11,TN,Tamil Nadu,Tier 3,Premium,Female,16-18,2023-08,False,True
STU000234,Grade 12,KA,Karnataka,Tier 2,Basic,Female,16-18,2023-12,True,False
STU000235,Grade 11,WB,West Bengal,Tier 2,Basic,Female,16-18,2023-10,True,True
STU000236,Grade 11,RJ,Rajasthan,Tier 3,Free,Female,16-18,2023-03,True,True
STU000237,Grade 11,GJ,Gujarat,Tier 3,Free,Female,16-18,2023-06,True,True
STU000238,Grade 11,MP,Madhya Pradesh,Tier 1,Free,Female,16-18,2023-09,True,False
STU000239,Grade 10,DL,Delhi,Tier 2,Premium,Male,14-15,2023-10,False,False
STU000240,Grade 11,MH,Maharashtra,Tier 3,Basic,Female,16-18,2023-04,False,False
STU000241,Grade 10,UP,Uttar Pradesh,Tier 1,Free,Male,14-15,2023-05,False,False
STU000242,Grade 11,BR,Bihar,Tier 1,Free,Male,16-18,2023-02,False,True
STU000243,Grade 9,TN,Tamil Nadu,Tier 2,Free,Male,14-15,2023-06,False,False
STU000244,Grade 10,KA,Karnataka,Tier 2,Free,Female,14-15,2023-10,False,False
STU000245,Grade 11,WB,West Bengal,Tier 2,Basic,Male,16-18,2023-10,True,True
STU000246,Grade 11,RJ,Rajasthan,Tier 3,Free,Male,16-18,2023-12,False,False
STU000247,Grade 11,GJ,Gujarat,Tier 3,Free,Other,16-18,2023-11,True,True
STU000248,Grade 12,MP,Madhya Pradesh,Tier 1,Premium,Male,16-18,2023-03,False,False
STU000249,Grade 12,DL,Delhi,Tier 2,Premium,Female,16-18,2023-10,True,False
STU000250,Grade 12,MH,Maharashtra,Tier 3,Free,Other,16-18,2023-06,False,True
STU000251,Grade 11,UP,Uttar Pradesh,Tier 2,Free,Male,16-18,2023-04,False,False
STU000252,Grade 11,BR,Bihar,Tier 3,Basic,Male,16-18,2023-11,True,False
STU000253,Grade 11,TN,Tamil Nadu,Tier 2,Basic,Female,16-18,2023-05,True,False
STU000254,Grade 10,KA,Karnataka,Tier 1,Basic,Female,14-15,2023-09,False,False
STU000255,Grade 11,WB,West Bengal,Tier 2,Basic,Female,16-18,2023-01,False,False
STU000256,Grade 9,RJ,Rajasthan,Tier 3,Premium,Male,14-15,2023-05,False,False
STU000257,Grade 11,GJ,Gujarat,Tier 2,Basic,Female,16-18,2023-12,False,False
STU000258,Grade 9,MP,Madhya Pradesh,Tier 1,Free,Male,14-15,2023-10,False,False
STU000259,Grade 10,DL,Delhi,Tier 3,Basic,Female,14-15,2023-11,False,False
STU000260,Grade 11,MH,Maharashtra,Tier 2,Free,Female,16-18,2023-02,False,False
STU000261,Grade 11,UP,Uttar Pradesh,Tier 2,Free,Male,16-18,2023-01,True,True
STU000262,Grade 9,BR,Bihar,Tier 1,Premium,Female,14-15,2023-06,False,False
STU000263,Grade 10,TN,Tamil Nadu,Tier 1,Basic,Male,14-15,2023-02,False,False
STU000264,Grade 10,KA,Karnataka,Tier 1,Premium,Female,14-15,2023-06,False,False
STU000265,Grade 12,WB,West Bengal,Tier 3,Basic,Female,16-18,2023-08,False,False
STU000266,Grade 12,RJ,Rajasthan,Tier 1,Basic,Male,16-18,2023-06,True,False
STU000267,Grade 11,GJ,Gujarat,Tier 2,Premium,Female,16-18,2023-07,False,True
STU000268,Grade 10,MP,Madhya Pradesh,Tier 2,Free,Female,14-15,2023-04,False,False
STU000269,Grade 9,DL,Delhi,Tier 1,Free,Male,14-15,2023-05,False,False
STU000270,Grade 10,MH,Maharashtra,Tier 1,Premium,Female,14-15,2023-03,False,False
STU000271,Grade 9,UP,Uttar Pradesh,Tier 2,Premium,Female,14-15,2023-03,False,False
STU000272,Grade 12,BR,Bihar,Tier 2,Basic,Male,16-18,2023-10,True,False
STU000273,Grade 9,TN,Tamil Nadu,Tier 2,Free,Female,14-15,2023-08,False,False
STU000274,Grade 10,KA,Karnataka,Tier 2,Basic,Male,14-15,2023-03,False,False
STU000275,Grade 9,WB,West Bengal,Tier 1,Basic,Male,14-15,2023-01,False,False
STU000276,Grade 11,RJ,Rajasthan,Tier 2,Free,Female,16-18,2023-03,True,True
STU000277,Grade 11,GJ,Gujarat,Tier 2,Premium,Other,16-18,2023-07,True,True
STU000278,Grade 12,MP,Madhya Pradesh,Tier 2,Free,Female,16-18,2023-10,True,False
STU000279,Grade 9,DL,Delhi,Tier 2,Premium,Female,14-15,2023-05,False,False
STU000280,Grade 10,MH,Maharashtra,Tier 3,Free,Male,14-15,2023-04,False,False
STU000281,Grade 10,UP,Uttar Pradesh,Tier 3,Basic,Female,14-15,2023-10,False,False
STU000282,Grade 12,BR,Bihar,Tier 2,Free,Female,16-18,2023-06,True,True
STU000283,Grade 10,TN,Tamil Nadu,Tier 1,Free,Male,14-15,2023-08,False,False
STU000284,Grade 11,KA,Karnataka,Tier 1,Premium,Female,16-18,2023-11,True,False
STU000285,Grade 12,WB,West Bengal,Tier 3,Free,Other,16-18,2023-05,False,True
STU000286,Grade 12,RJ,Rajasthan,Tier 3,Free,Female,16-18,2023-10,True,False
STU000287,Grade 12,GJ,Gujarat,Tier 1,Basic,Male,16-18,2023-06,False,True
STU000288,Grade 12,MP,Madhya Pradesh,Tier 3,Basic,Male,16-18,2023-10,True,False
STU000289,Grade 12,DL,Delhi,Tier 1,Premium,Female,16-18,2023-01,True,False
STU000290,Grade 9,MH,Maharashtra,Tier 2,Free,Female,14-15,2023-01,False,False
STU000291,Grade 11,UP,Uttar Pradesh,Tier 2,Free,Male,16-18,2023-05,False,True
STU000292,Grade 10,BR,Bihar,Tier 1,Premium,Male,14-15,2023-10,False,False
STU000293,Grade 9,TN,Tamil Nadu,Tier 3,Free,Female,14-15,2023-09,False,False
STU000294,Grade 11,KA,Karnataka,Tier 2,Free,Male,16-18,2023-04,False,True
STU000295,Grade 11,WB,West Bengal,Tier 1,Premium,Other,16-18,2023-09,False,False
