course_id,week_start_date,city_tier,enrolled_students,active_students,new_enrollments,total_sessions,total_watch_mins,videos_watched,quizzes_submitted,avg_engagement_score,dropouts_this_week
PH01,2023-04-10,Tier 1,1362,749,39,3431,56109,2172,1490,85.2,8
PH01,2023-04-10,Tier 2,973,609,57,2640,45968,943,1354,82.3,11
PH01,2023-04-10,Tier 3,776,498,24,2306,44636,1204,849,63.7,9
PH01,2023-04-17,Tier 1,1253,641,72,2267,62700,1264,1145,73.8,10
PH01,2023-04-17,Tier 2,1164,531,52,2643,40968,841,1339,41.4,4
PH01,2023-04-17,Tier 3,980,393,31,1578,31482,1107,699,39.2,4
PH01,2023-04-24,Tier 1,1492,811,101,3361,119695,1509,1166,70.7,20
PH01,2023-04-24,Tier 2,1125,667,62,3169,93986,1410,1383,42.2,8
PH01,2023-04-24,Tier 3,831,372,28,982,34483,935,567,32.6,10
PH01,2023-05-01,Tier 1,1226,505,34,2404,34965,843,1236,71.5,16
PH01,2023-05-01,Tier 2,1034,514,30,2487,43687,1854,997,65.6,10
PH01,2023-05-01,Tier 3,871,558,36,2743,35488,1543,1479,53.4,9
PH01,2023-05-08,Tier 1,1210,839,60,4115,81349,3018,2272,75.4,16
PH01,2023-05-08,Tier 2,1159,704,73,2969,93686,2360,1004,51.7,6
PH01,2023-05-08,Tier 3,846,359,34,1679,34096,1431,551,51.5,9
PH01,2023-05-15,Tier 1,1222,536,96,1799,26042,2078,680,78.7,9
PH01,2023-05-15,Tier 2,998,584,70,2785,79589,1802,1031,51.1,8
PH01,2023-05-15,Tier 3,831,334,42,1571,38600,1163,731,62.2,8
PH01,2023-05-22,Tier 1,1476,644,94,2987,74444,2288,1561,63.2,6
PH01,2023-05-22,Tier 2,946,387,50,1152,36043,1086,552,63.4,3
PH01,2023-05-22,Tier 3,788,491,44,1440,26627,1649,467,59.9,8
PH01,2023-05-29,Tier 1,1101,737,23,3067,100539,2471,1339,89.4,13
PH01,2023-05-29,Tier 2,1039,471,52,1299,68457,897,749,50.4,11
PH01,2023-05-29,Tier 3,895,602,38,2655,45738,1213,1469,56.8,8
PH01,2023-06-05,Tier 1,1263,625,53,2359,49010,2155,1004,92.2,6
PH01,2023-06-05,Tier 2,1016,568,62,1619,61934,2151,806,72.8,3
PH01,2023-06-05,Tier 3,743,321,32,1034,14699,1140,548,50.7,6
PH01,2023-06-12,Tier 1,1192,785,88,2962,80456,3035,1282,62.2,7
PH01,2023-06-12,Tier 2,935,558,73,2226,61954,1481,942,43.5,5
PH01,2023-06-12,Tier 3,797,549,37,2009,29120,1910,701,45.8,5
PH01,2023-06-19,Tier 1,1178,656,36,2217,32167,1219,886,63.6,8
PH01,2023-06-19,Tier 2,1076,497,32,1905,41827,823,596,42.0,11
PH01,2023-06-19,Tier 3,729,494,22,2183,56590,1201,1074,50.8,3
PH01,2023-06-26,Tier 1,1135,531,32,1608,51285,1906,928,80.7,7
PH01,2023-06-26,Tier 2,1024,545,25,2581,74409,1505,799,47.2,14
PH01,2023-06-26,Tier 3,692,442,45,1668,49550,667,967,60.9,2
PH01,2023-07-03,Tier 1,879,514,68,2381,54164,1511,1259,85.2,7
PH01,2023-07-03,Tier 2,832,497,57,1320,60583,1503,465,43.4,3
PH01,2023-07-03,Tier 3,637,357,38,1709,33530,909,933,31.0,8
PH01,2023-07-10,Tier 1,1124,582,52,1796,58294,1890,791,87.9,7
PH01,2023-07-10,Tier 2,938,628,45,3122,93262,1859,1517,66.6,4
PH01,2023-07-10,Tier 3,609,371,29,1180,38523,1404,387,50.2,4
PH01,2023-07-17,Tier 1,1109,589,51,1819,71789,1683,845,49.8,14
PH01,2023-07-17,Tier 2,738,438,28,1752,65423,1745,949,71.0,8
PH01,2023-07-17,Tier 3,630,273,23,1181,13440,698,697,59.9,8
PH01,2023-07-24,Tier 1,1094,756,58,3563,111716,2997,1801,64.2,7
PH01,2023-07-24,Tier 2,731,476,28,1955,70924,1855,912,47.5,7
PH01,2023-07-24,Tier 3,689,449,32,1563,45688,1456,697,41.6,7
PH01,2023-07-31,Tier 1,1136,600,57,1521,54988,1527,727,94.7,15
PH01,2023-07-31,Tier 2,926,390,30,1598,19488,1251,950,74.8,8
PH01,2023-07-31,Tier 3,647,333,23,947,18427,1047,327,38.2,2
PH01,2023-08-07,Tier 1,790,463,52,1263,21915,789,754,56.4,9
PH01,2023-08-07,Tier 2,670,331,44,1119,36932,842,644,62.3,8
PH01,2023-08-07,Tier 3,474,253,14,967,36616,752,448,56.9,5
PH01,2023-08-14,Tier 1,964,393,64,1868,30283,1261,742,78.9,7
PH01,2023-08-14,Tier 2,710,464,43,1222,22140,1116,619,67.0,5
PH01,2023-08-14,Tier 3,498,219,13,563,16186,855,262,38.3,6
PH01,2023-08-21,Tier 1,897,382,43,1022,40700,1070,562,100.7,3
PH01,2023-08-21,Tier 2,670,445,21,2042,47080,815,1078,83.3,2
PH01,2023-08-21,Tier 3,613,312,20,1015,42862,1106,459,56.2,5
PH01,2023-08-28,Tier 1,896,491,70,2186,48243,1180,1287,84.9,5
PH01,2023-08-28,Tier 2,760,360,30,1121,25460,1119,453,77.7,8
PH01,2023-08-28,Tier 3,620,328,36,1632,15827,1261,511,44.3,4
PH01,2023-09-04,Tier 1,883,467,68,1167,51124,1533,666,99.8,9
PH01,2023-09-04,Tier 2,754,462,30,1404,22607,1383,792,41.9,7
PH01,2023-09-04,Tier 3,514,358,25,972,35004,943,308,62.0,3
PH01,2023-09-11,Tier 1,722,321,35,1369,21925,940,534,65.7,6
PH01,2023-09-11,Tier 2,601,251,15,876,32976,666,398,57.5,2
PH01,2023-09-11,Tier 3,583,292,23,806,31079,1033,284,31.3,5
PH01,2023-09-18,Tier 1,820,483,57,1990,57635,825,614,86.3,5
PH01,2023-09-18,Tier 2,698,333,51,1585,25839,594,828,44.3,2
PH01,2023-09-18,Tier 3,522,234,11,814,12522,500,394,45.5,4
PH01,2023-09-25,Tier 1,878,474,35,2230,32400,1358,1324,78.7,4
PH01,2023-09-25,Tier 2,774,310,36,951,42109,1042,440,56.4,4
PH01,2023-09-25,Tier 3,455,295,12,1282,28675,1154,618,43.5,4
PH01,2023-10-02,Tier 1,862,437,66,1350,38176,1152,764,99.4,4
PH01,2023-10-02,Tier 2,802,333,58,1502,37235,1317,659,69.1,9
PH01,2023-10-02,Tier 3,546,312,29,1283,20597,812,559,62.1,2
PH01,2023-10-09,Tier 1,785,339,48,1371,49887,888,546,91.2,5
PH01,2023-10-09,Tier 2,813,365,16,1347,32277,1198,758,70.6,9
PH01,2023-10-09,Tier 3,523,212,24,758,15498,562,301,45.4,2
PH01,2023-10-16,Tier 1,829,332,26,1305,17357,1180,748,77.6,7
PH01,2023-10-16,Tier 2,729,336,44,986,44622,1126,425,49.7,9
PH01,2023-10-16,Tier 3,651,304,40,1228,38407,1097,641,44.0,5
PH01,2023-10-23,Tier 1,944,591,44,2575,31331,1808,1043,61.7,4
PH01,2023-10-23,Tier 2,679,462,31,1195,38269,1608,574,47.1,2
PH01,2023-10-23,Tier 3,633,310,31,1186,38180,1116,583,31.3,3
PH01,2023-10-30,Tier 1,883,432,34,1474,57119,1313,580,69.0,10
PH01,2023-10-30,Tier 2,791,516,31,1725,41679,1568,798,84.0,8
PH01,2023-10-30,Tier 3,584,314,29,984,23047,1200,520,44.2,6
PH01,2023-11-06,Tier 1,1061,574,50,1942,34942,1916,595,73.2,9
PH01,2023-11-06,Tier 2,974,644,61,1700,77724,1086,600,43.3,13
PH01,2023-11-06,Tier 3,696,436,20,1922,25162,1109,980,48.7,8
PH01,2023-11-13,Tier 1,1106,674,82,3192,75756,1604,1304,91.1,7
PH01,2023-11-13,Tier 2,916,406,24,1203,42445,1229,682,60.2,10
PH01,2023-11-13,Tier 3,707,333,39,1199,47676,1096,599,34.3,7
PH01,2023-11-20,Tier 1,1121,607,76,2246,73995,2200,1118,53.8,4
PH01,2023-11-20,Tier 2,995,434,54,1204,54577,1335,528,54.8,8
PH01,2023-11-20,Tier 3,596,348,24,1008,49543,1242,493,31.8,5
PH01,2023-11-27,Tier 1,1153,612,56,2574,35959,1204,965,92.8,4
PH01,2023-11-27,Tier 2,883,411,59,1038,55353,1296,522,66.4,5
PH01,2023-11-27,Tier 3,699,324,47,1492,29774,1120,777,61.5,7
PH01,2023-12-04,Tier 1,1275,663,80,2744,74740,2433,1411,82.9,5
PH01,2023-12-04,Tier 2,1089,719,57,1839,92521,1757,817,74.0,6
PH01,2023-12-04,Tier 3,692,369,40,998,35625,1309,465,63.6,7
PH01,2023-12-11,Tier 1,1209,731,47,2854,107632,2497,1023,48.5,7
PH01,2023-12-11,Tier 2,1176,698,71,2217,99740,2640,704,53.6,15
PH01,2023-12-11,Tier 3,882,518,67,2454,50874,1611,1433,40.2,9
PH01,2023-12-18,Tier 1,1385,591,49,1703,50829,1308,618,55.9,15
PH01,2023-12-18,Tier 2,1084,725,85,3598,75573,1397,2073,68.1,5
PH01,2023-12-18,Tier 3,820,511,49,1537,31898,1247,463,42.3,4
PH01,2023-12-25,Tier 1,1245,838,38,3403,75579,2264,1241,92.8,12
PH01,2023-12-25,Tier 2,914,542,38,2121,41178,1604,826,62.7,4
PH01,2023-12-25,Tier 3,727,435,45,1314,59737,1199,782,44.5,7
PH01,2024-01-01,Tier 1,1660,680,98,3320,44600,1952,1905,84.8,21
PH01,2024-01-01,Tier 2,1092,757,84,2070,34765,1156,986,73.3,13
PH01,2024-01-01,Tier 3,800,324,46,1398,43587,1227,693,31.4,7
PH01,2024-01-08,Tier 1,1508,964,83,2976,88075,2282,1413,59.5,17
PH01,2024-01-08,Tier 2,1075,544,30,2506,25968,895,1192,72.4,14
PH01,2024-01-08,Tier 3,1063,569,73,2011,28716,2268,831,51.1,12
PH01,2024-01-15,Tier 1,1456,914,41,4483,95996,2658,2377,81.0,10
PH01,2024-01-15,Tier 2,1188,631,84,2175,85062,1033,665,64.0,5
PH01,2024-01-15,Tier 3,946,455,37,1912,43965,784,685,52.9,4
PH01,2024-01-22,Tier 1,1587,675,78,2205,70290,1717,1205,91.6,20
PH01,2024-01-22,Tier 2,1155,503,39,1988,68751,1258,1172,73.9,11
PH01,2024-01-22,Tier 3,902,448,20,2112,43729,909,969,32.2,11
PH01,2024-01-29,Tier 1,1604,925,98,2509,103009,3670,1451,97.6,21
PH01,2024-01-29,Tier 2,1292,818,99,2246,40765,2511,811,44.2,16
PH01,2024-01-29,Tier 3,994,692,61,3074,61679,1404,1519,60.8,8
PH01,2024-02-05,Tier 1,1634,861,50,2582,47723,1980,1222,75.7,6
PH01,2024-02-05,Tier 2,1253,670,78,3087,82455,1751,964,41.2,7
PH01,2024-02-05,Tier 3,1119,653,50,2030,53903,2361,1144,48.6,10
PH01,2024-02-12,Tier 1,1469,625,77,2680,52346,1852,960,99.1,14
PH01,2024-02-12,Tier 2,1505,785,39,3579,61662,2675,2092,55.7,6
PH01,2024-02-12,Tier 3,961,456,37,1803,39689,1680,834,53.4,10
PH01,2024-02-19,Tier 1,1605,698,112,3415,38074,1509,1255,48.4,6
PH01,2024-02-19,Tier 2,1247,752,66,3513,39066,1851,1898,65.2,8
PH01,2024-02-19,Tier 3,886,600,36,1614,59310,2231,528,33.0,4
PH01,2024-02-26,Tier 1,1555,660,91,3243,75163,2068,1711,66.8,10
PH01,2024-02-26,Tier 2,1267,628,81,2980,77926,1293,1698,48.8,7
PH01,2024-02-26,Tier 3,1091,514,64,1434,52284,1381,663,41.8,5
PH01,2024-03-04,Tier 1,1905,957,53,4634,81251,2497,1504,54.3,26
PH01,2024-03-04,Tier 2,1616,676,101,2255,101399,1105,773,74.2,12
PH01,2024-03-04,Tier 3,1043,513,67,2086,56239,1591,998,54.1,11
PH01,2024-03-11,Tier 1,1904,847,75,3944,60875,1959,1864,86.2,21
PH01,2024-03-11,Tier 2,1443,832,88,2765,47639,1311,1219,62.1,10
PH01,2024-03-11,Tier 3,1127,646,31,2018,48954,2225,696,48.8,15
PH01,2024-03-18,Tier 1,1914,1157,50,5114,62682,4221,2348,99.0,18
PH01,2024-03-18,Tier 2,1544,780,37,3640,50608,2906,1934,42.5,14
PH01,2024-03-18,Tier 3,1097,700,85,1758,100156,2358,976,63.7,9
PH01,2024-03-25,Tier 1,1884,1241,129,5470,75737,3421,3239,85.9,7
PH01,2024-03-25,Tier 2,1589,1084,91,2953,158833,3382,1663,67.0,6
PH01,2024-03-25,Tier 3,1006,529,21,2107,77662,2068,1035,57.0,12
PH01,2024-04-01,Tier 1,1536,678,112,2400,51724,1369,831,59.3,7
PH01,2024-04-01,Tier 2,1319,550,36,2051,26646,2120,974,53.0,10
PH01,2024-04-01,Tier 3,937,408,59,1721,27058,1623,597,55.7,7
PH01,2024-04-08,Tier 1,1832,980,113,3906,112016,1889,2224,50.2,25
PH01,2024-04-08,Tier 2,1277,727,27,3135,34275,2204,1735,83.3,15
PH01,2024-04-08,Tier 3,1139,688,63,1734,40435,1314,585,36.2,11
PH01,2024-04-15,Tier 1,1886,1296,39,5375,104008,3169,2186,101.0,18
PH01,2024-04-15,Tier 2,1409,676,107,2860,94308,1158,1513,58.4,7
PH01,2024-04-15,Tier 3,1088,630,80,1835,46707,2033,998,38.1,9
PH01,2024-04-22,Tier 1,1618,810,123,2989,39391,1764,1356,48.4,11
PH01,2024-04-22,Tier 2,1462,946,41,4270,111363,2855,2318,44.9,15
PH01,2024-04-22,Tier 3,1027,638,39,1853,32203,1355,644,54.3,12
PH01,2024-04-29,Tier 1,1492,602,48,2316,58318,2178,804,78.1,17
PH01,2024-04-29,Tier 2,1569,908,45,2958,79077,2175,1054,73.4,10
PH01,2024-04-29,Tier 3,982,501,30,1710,63376,1096,988,35.2,10
PH01,2024-05-06,Tier 1,1716,983,130,2489,61117,2955,776,51.1,20
PH01,2024-05-06,Tier 2,1275,765,85,2412,67326,2007,1248,63.8,6
PH01,2024-05-06,Tier 3,1113,697,23,1847,75098,1304,584,41.5,14
PH01,2024-05-13,Tier 1,1374,803,99,2023,110204,1912,1006,68.6,11
PH01,2024-05-13,Tier 2,1134,475,29,2217,37769,1704,1027,44.1,7
PH01,2024-05-13,Tier 3,1118,481,24,1881,42739,1865,656,61.7,13
PH01,2024-05-20,Tier 1,1725,723,105,1928,59402,1922,1014,100.0,21
PH01,2024-05-20,Tier 2,1158,656,80,1813,58694,2126,906,73.1,8
PH01,2024-05-20,Tier 3,994,652,43,1787,84302,1563,1046,52.0,4
PH01,2024-05-27,Tier 1,1769,977,63,2654,56042,2160,1035,98.4,10
PH01,2024-05-27,Tier 2,1198,657,30,2455,76269,1154,1441,56.8,14
PH01,2024-05-27,Tier 3,1083,558,57,1806,77562,2114,1069,50.7,6
PH01,2024-06-03,Tier 1,1241,849,73,2648,105939,3394,986,87.8,12
PH01,2024-06-03,Tier 2,1196,835,47,3345,118772,1373,1340,62.4,8
PH01,2024-06-03,Tier 3,813,327,33,894,27498,901,510,49.0,4
PH01,2024-06-10,Tier 1,1385,577,92,2672,62021,1833,1479,53.7,5
PH01,2024-06-10,Tier 2,1056,559,65,2621,64282,1460,1138,64.2,6
PH01,2024-06-10,Tier 3,853,460,53,1332,33697,926,745,39.1,6
PH01,2024-06-17,Tier 1,1613,684,60,2120,65944,2301,862,69.8,10
PH01,2024-06-17,Tier 2,1226,611,90,2843,62942,2372,1557,48.5,14
PH01,2024-06-17,Tier 3,890,590,70,2635,76130,1169,1233,61.5,10
PH01,2024-06-24,Tier 1,1444,689,50,2921,71982,1457,998,84.7,13
PH01,2024-06-24,Tier 2,1157,694,62,3215,91247,2279,1136,45.3,6
PH01,2024-06-24,Tier 3,819,534,46,2260,39376,1240,842,41.5,4
PH01,2024-07-01,Tier 1,1343,644,85,2875,60591,2483,1433,97.4,6
PH01,2024-07-01,Tier 2,869,516,60,2491,26213,1295,1346,72.9,4
PH01,2024-07-01,Tier 3,651,412,17,1266,40410,1561,468,37.3,3
PH01,2024-07-08,Tier 1,1173,604,27,1863,85763,1182,585,79.2,15
PH01,2024-07-08,Tier 2,884,429,44,1614,53155,1169,957,44.1,8
PH01,2024-07-08,Tier 3,691,352,33,1358,18169,1102,618,49.3,7
PH01,2024-07-15,Tier 1,1281,560,86,2291,71752,1156,1154,86.2,15
PH01,2024-07-15,Tier 2,1073,496,79,1696,45902,854,846,53.4,11
PH01,2024-07-15,Tier 3,788,456,46,1820,48594,1808,906,33.0,8
PH01,2024-07-22,Tier 1,1389,948,47,3012,106229,3728,1171,78.6,16
PH01,2024-07-22,Tier 2,1052,440,82,1546,38673,1021,494,44.8,13
PH01,2024-07-22,Tier 3,663,455,52,1191,35604,817,604,41.9,3
PH01,2024-07-29,Tier 1,1199,625,76,2158,80846,2111,824,74.8,5
PH01,2024-07-29,Tier 2,938,385,50,1515,53170,985,463,56.6,9
PH01,2024-07-29,Tier 3,783,412,46,1728,49472,1625,891,61.9,4
PH01,2024-08-05,Tier 1,1162,514,63,2471,49041,1903,1055,88.0,12
PH01,2024-08-05,Tier 2,816,456,63,2277,43618,1364,1247,83.3,5
PH01,2024-08-05,Tier 3,588,288,12,1401,22153,872,634,56.1,7
PH01,2024-08-12,Tier 1,1056,680,76,2110,97096,1811,814,69.9,4
PH01,2024-08-12,Tier 2,822,501,28,1740,71851,838,629,77.6,7
PH01,2024-08-12,Tier 3,671,326,16,1175,38612,866,532,36.1,4
PH01,2024-08-19,Tier 1,1162,510,34,2537,68470,1104,1468,98.6,8
PH01,2024-08-19,Tier 2,911,401,49,1624,36261,779,583,79.1,12
PH01,2024-08-19,Tier 3,721,302,21,850,40578,507,358,47.1,3
PH01,2024-08-26,Tier 1,960,444,71,2212,33945,1769,665,84.6,10
PH01,2024-08-26,Tier 2,800,481,20,2198,41106,1167,807,50.6,4
PH01,2024-08-26,Tier 3,765,395,46,1141,38104,734,621,48.8,5
PH01,2024-09-02,Tier 1,895,593,59,1487,67473,1598,830,98.8,12
PH01,2024-09-02,Tier 2,802,474,23,1619,64678,1414,714,49.9,7
PH01,2024-09-02,Tier 3,552,273,25,1342,26211,495,710,40.1,6
PH01,2024-09-09,Tier 1,1134,496,42,1281,48969,1423,724,66.2,15
PH01,2024-09-09,Tier 2,931,445,56,1484,24494,1663,565,76.7,10
PH01,2024-09-09,Tier 3,700,479,30,1689,42952,1116,978,59.0,8
PH01,2024-09-16,Tier 1,1148,771,76,2829,49652,2491,1308,90.4,5
PH01,2024-09-16,Tier 2,911,552,21,1687,33450,1218,776,61.7,3
PH01,2024-09-16,Tier 3,563,230,18,1114,33100,360,645,59.8,2
PH01,2024-09-23,Tier 1,1088,546,63,2593,34335,1413,864,62.2,10
PH01,2024-09-23,Tier 2,952,663,21,2907,73168,1284,1249,65.5,7
PH01,2024-09-23,Tier 3,739,360,51,1198,31684,999,567,51.1,7
PH01,2024-09-30,Tier 1,1112,732,65,3394,84178,2058,1967,61.4,10
PH01,2024-09-30,Tier 2,814,379,63,1650,17090,1294,870,60.2,10
PH01,2024-09-30,Tier 3,657,393,49,1046,38664,656,378,35.0,4
PH01,2024-10-07,Tier 1,940,445,46,2217,61535,1689,982,96.5,6
PH01,2024-10-07,Tier 2,901,597,20,1525,62296,2207,715,68.2,10
PH01,2024-10-07,Tier 3,684,317,45,1521,46663,785,876,46.5,3
PH01,2024-10-14,Tier 1,990,545,64,1575,50928,1512,884,82.6,6
PH01,2024-10-14,Tier 2,877,378,31,1824,39898,592,1022,45.2,11
PH01,2024-10-14,Tier 3,605,330,26,986,45323,1214,353,46.8,7
PH01,2024-10-21,Tier 1,1035,598,62,1512,34097,1743,829,94.4,9
PH01,2024-10-21,Tier 2,1058,633,39,2201,60905,2502,914,59.6,11
PH01,2024-10-21,Tier 3,790,475,55,1285,70777,1867,407,57.3,10
PH01,2024-10-28,Tier 1,1054,698,57,2190,66498,2016,1277,73.2,8
PH01,2024-10-28,Tier 2,1012,673,37,3334,54903,1121,1784,48.2,7
PH01,2024-10-28,Tier 3,796,338,43,1467,41011,727,536,59.4,3
PH01,2024-11-04,Tier 1,1301,842,33,2931,112423,2788,1521,58.5,18
PH01,2024-11-04,Tier 2,1018,407,44,1413,30966,1334,446,43.7,12
PH01,2024-11-04,Tier 3,772,360,38,1520,36142,585,850,36.7,5
PH01,2024-11-11,Tier 1,1475,626,94,1907,64823,1719,682,59.2,16
PH01,2024-11-11,Tier 2,1172,589,30,2440,54878,1229,774,51.6,12
PH01,2024-11-11,Tier 3,905,606,64,2436,81062,1030,1400,48.1,9
PH01,2024-11-18,Tier 1,1406,594,105,2008,88871,2118,998,52.2,15
PH01,2024-11-18,Tier 2,1190,672,37,2092,92785,1753,718,82.8,4
PH01,2024-11-18,Tier 3,845,468,34,1824,49240,1676,655,51.7,6
PH01,2024-11-25,Tier 1,1181,576,62,2178,49736,990,1129,63.2,5
PH01,2024-11-25,Tier 2,992,606,30,2487,86000,1624,1345,77.7,13
PH01,2024-11-25,Tier 3,784,422,50,1506,48919,977,561,45.5,8
PH01,2024-12-02,Tier 1,1529,999,53,2839,53809,3951,997,68.8,7
PH01,2024-12-02,Tier 2,1188,522,29,2504,66729,2087,1040,69.9,15
PH01,2024-12-02,Tier 3,1019,645,21,2527,40267,1919,1248,50.9,14
PH01,2024-12-09,Tier 1,1752,1036,102,3194,97413,3449,1333,101.0,24
PH01,2024-12-09,Tier 2,1271,632,91,1653,43269,2070,768,70.3,16
PH01,2024-12-09,Tier 3,1056,500,32,1329,31415,1261,744,30.9,8
PH01,2024-12-16,Tier 1,1594,913,88,3236,73757,1901,1332,53.9,15
PH01,2024-12-16,Tier 2,1435,686,42,2629,35949,2010,1062,70.5,10
PH01,2024-12-16,Tier 3,971,452,63,1289,58632,1776,548,33.6,7
PH01,2024-12-23,Tier 1,1534,729,36,3157,89872,1346,1631,85.8,15
PH01,2024-12-23,Tier 2,1129,747,61,2330,49398,2741,1287,46.1,5
PH01,2024-12-23,Tier 3,894,358,52,994,30055,1085,524,53.8,10
PH01,2024-12-30,Tier 1,1338,641,68,2176,40092,2258,1191,92.6,5
PH01,2024-12-30,Tier 2,1264,884,82,2664,107952,2370,1429,81.5,11
PH01,2024-12-30,Tier 3,1098,492,42,1503,42799,1338,532,35.4,4
PH02,2023-01-02,Tier 1,978,470,23,2114,55200,763,1222,48.4,6
PH02,2023-01-02,Tier 2,839,507,54,1675,53457,1715,667,74.9,8
PH02,2023-01-02,Tier 3,730,494,39,2185,54887,1543,740,42.2,7
PH02,2023-01-09,Tier 1,1059,489,49,2212,47295,982,1183,55.6,8
PH02,2023-01-09,Tier 2,922,444,22,1630,53053,999,726,44.0,8
PH02,2023-01-09,Tier 3,659,336,42,1558,34442,957,532,47.6,2
PH02,2023-01-16,Tier 1,1189,829,36,2360,75070,2110,1240,59.5,16
PH02,2023-01-16,Tier 2,1037,506,23,2257,28130,1591,1279,74.3,10
PH02,2023-01-16,Tier 3,627,321,46,1442,42114,954,743,47.1,3
PH02,2023-01-23,Tier 1,1184,508,48,1414,48184,1816,674,56.0,10
PH02,2023-01-23,Tier 2,935,471,24,2313,24867,1493,824,75.9,12
PH02,2023-01-23,Tier 3,777,453,57,1395,27929,1656,640,49.0,5
PH02,2023-01-30,Tier 1,1168,623,53,2537,42271,1472,1227,81.8,10
PH02,2023-01-30,Tier 2,1059,509,56,2200,36132,1009,910,62.5,11
PH02,2023-01-30,Tier 3,828,395,37,993,42428,769,467,42.9,5
PH02,2023-02-06,Tier 1,1132,478,49,1544,46643,1418,773,97.3,10
PH02,2023-02-06,Tier 2,918,601,28,2216,55914,1123,1293,63.8,9
PH02,2023-02-06,Tier 3,756,450,56,1504,44276,857,827,52.4,3
PH02,2023-02-13,Tier 1,1395,653,41,3237,48402,1929,1119,62.1,13
PH02,2023-02-13,Tier 2,1100,544,36,1424,63653,1874,718,63.9,7
PH02,2023-02-13,Tier 3,896,593,67,1889,54817,1821,1090,59.2,6
PH02,2023-02-20,Tier 1,1131,471,68,1415,62457,787,583,80.8,15
PH02,2023-02-20,Tier 2,990,541,74,1551,45982,1212,781,77.3,6
PH02,2023-02-20,Tier 3,898,414,52,1546,46209,1399,864,60.0,5
PH02,2023-02-27,Tier 1,1297,838,100,3495,38691,2197,1205,60.5,12
