student_id,course_id,enrollment_date,subscription_type,fees_paid,completion_pct,total_sessions,total_watch_mins,avg_score_pct,videos_watched,quizzes_attempted,last_active_date,days_enrolled,is_completed,is_active,is_at_risk,drop_week
STU000020,BI03,2023-06-14,Premium,5999,38.9,85,2816,100.0,89,39,2024-05-01,36,False,False,False,6
STU000021,MA01,2023-05-16,Free,0,15.2,17,651,22.7,19,11,2023-06-03,110,False,False,True,4
STU000022,CS01,2023-03-09,Basic,999,47.5,38,1027,72.1,38,33,2023-03-12,109,False,True,False,6
STU000022,PH01,2023-07-22,Basic,1499,40.6,54,1256,59.7,48,24,2024-01-20,161,False,True,False,4
STU000023,MA02,2023-06-16,Basic,2999,20.0,44,1300,58.5,38,34,2023-10-09,93,False,True,False,3
STU000023,CS02,2023-06-02,Basic,1499,86.4,85,2433,59.2,103,52,2023-09-21,274,True,True,False,0
STU000024,MA03,2023-09-15,Basic,999,41.6,88,2938,51.5,108,41,2023-10-30,222,False,True,False,8
STU000025,BI01,2023-03-24,Basic,1499,37.5,44,1291,72.2,41,25,2023-09-30,346,False,True,False,12
STU000026,PH01,2023-10-16,Free,0,30.6,37,787,36.6,36,16,2023-11-23,27,False,True,False,6
STU000027,BI02,2023-05-31,Free,0,32.2,59,1820,45.9,64,27,2024-05-02,210,False,False,False,1
STU000028,PH02,2023-08-27,Free,0,30.7,58,1670,43.4,55,25,2024-06-27,245,False,True,False,1
STU000028,MA03,2023-04-08,Free,0,22.8,59,1990,32.9,59,32,2023-05-02,259,False,True,False,4
STU000028,CH02,2023-03-08,Free,0,18.7,28,821,33.0,29,14,2024-02-08,49,False,True,False,6
STU000029,CS01,2023-10-18,Premium,5999,54.7,48,1185,89.5,43,43,2024-06-07,126,False,True,False,3
STU000029,BI01,2023-07-04,Premium,9999,58.5,63,1764,98.3,64,21,2024-05-06,42,False,True,False,6
STU000029,PH01,2023-01-15,Premium,3999,100.0,128,3601,100.0,120,45,2023-06-28,216,True,False,False,0
STU000030,MA01,2023-09-17,Free,0,16.5,24,572,31.1,21,19,2023-11-13,70,False,True,False,3
STU000031,PH01,2023-12-17,Premium,5999,37.3,39,1311,74.0,44,27,2024-10-08,185,False,True,False,6
STU000031,BI01,2023-09-06,Premium,3999,41.1,48,1356,90.5,45,29,2024-03-21,62,False,True,False,6
STU000032,MA02,2023-04-18,Basic,999,28.7,54,1432,49.2,54,39,2023-12-09,120,False,True,False,2
STU000033,MA02,2023-10-16,Premium,5999,30.9,61,1636,100.0,58,30,2024-01-24,157,False,True,False,1
STU000033,MA03,2023-04-11,Premium,3999,51.0,146,4209,95.1,132,75,2023-07-05,218,False,True,False,2
STU000034,CH01,2023-05-02,Free,0,14.9,12,385,30.9,14,9,2024-03-31,71,False,True,False,8
STU000034,BI01,2023-09-11,Free,0,19.9,22,730,31.4,21,15,2023-10-08,278,False,True,False,2
STU000035,CS02,2023-06-26,Premium,9999,55.5,77,1649,62.7,66,42,2024-01-05,343,False,False,False,3
STU000036,MA01,2023-02-05,Free,0,30.7,37,1186,36.3,39,20,2023-05-04,309,False,True,False,2
STU000036,BI01,2023-12-29,Free,0,47.6,56,1350,47.4,52,37,2024-12-06,175,False,False,False,3
STU000037,CH03,2023-06-21,Free,0,37.0,70,2212,42.0,77,50,2024-06-11,133,False,False,False,1
STU000037,MA02,2023-03-25,Free,0,24.0,42,1415,27.5,45,16,2023-08-12,293,False,False,True,2
STU000037,CS03,2023-07-27,Free,0,46.6,50,1480,51.0,46,42,2023-12-01,72,False,False,False,8
STU000038,CS02,2023-10-23,Basic,999,56.8,71,1600,80.2,68,31,2024-05-11,305,False,True,False,6
STU000039,MA01,2023-10-08,Basic,999,32.6,34,1249,62.8,42,11,2023-10-09,117,False,True,False,6
STU000039,CH01,2023-12-30,Basic,2999,59.1,64,1791,56.4,59,35,2024-05-26,214,False,False,False,1
STU000039,BI01,2023-07-24,Basic,999,42.5,50,1381,65.9,46,19,2024-05-31,225,False,True,False,2
STU000040,CS03,2023-12-08,Premium,5999,100.0,113,3287,70.9,100,66,2024-07-10,333,True,True,False,0
STU000041,CH02,2023-11-21,Free,0,30.1,55,1329,32.9,48,18,2023-11-30,357,False,False,False,1
STU000041,BI02,2023-02-22,Free,0,20.0,37,1324,34.4,40,17,2024-02-04,85,False,False,True,1
STU000042,BI02,2023-10-02,Premium,3999,100.0,184,7098,79.6,200,135,2024-05-02,50,True,True,False,0
STU000042,CH02,2023-10-07,Premium,5999,82.0,147,4449,63.9,131,110,2023-11-03,24,True,True,False,0
STU000043,MA03,2023-03-16,Basic,1499,20.4,57,1845,39.4,53,46,2023-06-10,118,False,False,True,6
STU000044,MA02,2023-11-15,Free,0,27.6,47,1232,42.7,52,19,2024-04-10,71,False,False,True,8
STU000045,CS01,2023-09-11,Premium,9999,92.7,64,2183,100.0,74,37,2024-09-09,291,True,True,False,0
STU000045,BI01,2023-12-31,Premium,9999,100.0,93,3571,91.0,110,44,2024-09-14,120,True,False,False,0
STU000045,MA01,2023-10-22,Premium,9999,56.4,59,2058,78.9,73,19,2023-12-12,142,False,False,False,2
STU000046,CS02,2023-06-15,Basic,1499,54.0,65,1858,67.3,64,48,2024-01-23,21,False,True,False,2
STU000047,CH03,2023-12-16,Free,0,22.7,43,1389,29.7,47,13,2024-09-17,228,False,False,True,6
STU000047,BI02,2023-05-11,Free,0,40.5,85,2750,43.3,81,49,2023-10-27,161,False,False,False,12
STU000048,PH03,2023-06-01,Basic,2999,31.7,81,2065,43.7,76,34,2023-12-06,92,False,True,False,3
STU000048,MA03,2023-09-14,Basic,1499,56.9,159,4657,64.8,147,133,2024-08-05,64,False,False,False,1
STU000049,MA02,2023-09-20,Basic,999,26.5,56,1574,70.8,50,34,2024-08-09,207,False,False,True,2
STU000049,CS03,2023-10-06,Basic,999,91.8,103,3243,90.3,91,42,2024-06-05,191,True,True,False,0
STU000050,CS03,2023-01-04,Basic,999,89.7,105,2435,56.2,89,74,2023-03-22,84,True,True,False,0
STU000051,MA01,2023-07-05,Free,0,26.1,31,965,37.1,33,25,2024-06-09,55,False,True,False,2
STU000051,CS01,2023-12-27,Free,0,25.6,19,645,51.3,20,15,2024-08-25,82,False,False,True,12
STU000052,CH03,2023-05-10,Basic,999,58.3,132,4177,62.7,122,106,2023-12-07,125,False,True,False,1
STU000053,CS01,2023-08-11,Basic,2999,55.4,46,1458,72.6,44,34,2023-09-15,154,False,False,False,6
STU000053,PH01,2023-02-01,Basic,999,18.1,24,623,53.0,21,13,2023-07-17,59,False,False,True,3
STU000053,CH01,2023-07-21,Basic,999,33.5,36,1182,68.6,33,10,2023-10-31,200,False,False,False,8
STU000054,CH01,2023-02-08,Basic,2999,56.0,64,1467,43.4,56,52,2023-08-26,91,False,True,False,6
STU000054,MA01,2023-09-19,Basic,2999,49.1,75,2209,47.0,63,34,2024-05-11,176,False,False,False,1
STU000055,PH02,2023-09-19,Basic,1499,34.5,61,1448,52.9,62,25,2024-01-23,337,False,True,False,6
STU000055,PH03,2023-01-17,Basic,1499,41.4,103,3000,65.2,99,76,2023-10-26,109,False,False,False,1
STU000056,BI01,2023-11-21,Basic,999,57.2,69,1494,61.5,62,40,2024-03-20,95,False,True,False,4
STU000056,CH01,2023-06-13,Basic,2999,55.8,45,1890,63.0,55,24,2023-10-03,36,False,True,False,2
STU000057,CH01,2023-09-06,Free,0,46.0,50,1662,39.9,46,15,2024-03-19,205,False,False,False,1
STU000058,CH03,2023-08-14,Premium,9999,86.3,174,4976,100.0,181,138,2024-01-19,9,True,False,False,0
STU000058,CS02,2023-06-18,Premium,5999,100.0,102,3841,84.5,120,49,2023-06-24,10,True,True,False,0
STU000059,MA03,2023-08-17,Basic,999,48.2,124,4487,47.7,125,88,2024-02-14,71,False,True,False,2
STU000059,CS02,2023-06-10,Basic,1499,27.0,37,856,52.9,32,14,2023-12-27,297,False,False,False,2
STU000060,CS03,2023-06-02,Basic,1499,40.4,41,1312,48.9,40,33,2023-12-01,10,False,True,False,1
STU000061,BI03,2023-07-21,Premium,5999,44.3,93,2853,71.1,101,82,2023-09-17,263,False,True,False,3
STU000061,PH03,2023-08-06,Premium,3999,31.0,78,1931,70.5,74,60,2024-02-02,329,False,True,False,6
STU000062,PH02,2023-10-17,Basic,1499,57.6,92,3318,50.5,103,78,2024-08-16,18,False,True,False,1
STU000062,MA02,2023-02-24,Basic,2999,28.6,51,1440,44.2,54,22,2024-01-18,204,False,False,True,2
STU000063,BI01,2023-04-04,Basic,2999,94.4,88,2714,67.5,103,39,2023-11-07,42,True,True,False,0
STU000064,BI01,2023-11-19,Premium,5999,78.1,99,2406,86.2,85,76,2024-01-24,214,False,True,False,3
STU000064,MA01,2023-06-17,Premium,9999,40.0,62,1575,92.8,52,35,2023-12-21,91,False,False,False,6
STU000065,CS01,2023-05-19,Free,0,37.7,29,905,30.5,30,15,2023-07-09,244,False,True,False,4
STU000066,CS01,2023-11-24,Premium,9999,70.7,48,1256,91.0,56,20,2024-01-21,205,False,False,False,3
STU000066,CH01,2023-03-14,Premium,9999,54.8,53,1899,79.9,54,26,2023-07-25,153,False,True,False,2
STU000066,PH01,2023-11-28,Premium,3999,70.9,85,2032,65.6,85,69,2023-12-31,108,False,True,False,3
STU000067,PH02,2023-11-12,Free,0,38.1,65,1650,28.1,68,39,2024-03-14,288,False,True,False,12
STU000067,PH03,2023-06-22,Free,0,40.7,83,3363,29.1,97,27,2023-10-22,304,False,True,False,12
STU000068,CS03,2023-02-22,Basic,2999,70.2,60,1955,76.4,70,51,2023-07-02,173,False,True,False,1
STU000068,PH02,2023-12-30,Basic,999,59.6,107,3326,62.2,107,60,2024-01-10,193,False,True,False,2
STU000069,PH02,2023-07-21,Free,0,34.4,58,1635,24.2,61,23,2024-01-23,334,False,True,False,1
STU000070,CH02,2023-01-30,Free,0,34.2,63,1818,44.9,54,38,2023-02-09,281,False,True,False,6
STU000070,MA02,2023-10-28,Free,0,38.7,61,2422,30.8,73,44,2024-03-27,214,False,True,False,6
STU000071,CH01,2023-04-25,Basic,2999,41.4,45,1204,44.7,41,36,2024-01-10,120,False,True,False,4
STU000071,BI01,2023-10-30,Basic,2999,46.5,41,1392,72.4,51,23,2024-07-18,311,False,True,False,8
STU000072,MA02,2023-05-23,Basic,999,35.1,76,1509,47.6,66,62,2023-08-11,248,False,True,False,8
STU000072,MA03,2023-03-29,Basic,999,41.2,101,3907,47.8,107,58,2023-12-02,338,False,True,False,2
STU000072,CS03,2023-05-21,Basic,1499,55.7,65,1341,76.1,55,34,2024-04-18,348,False,True,False,12
STU000073,CH01,2023-11-23,Premium,3999,57.8,57,1458,79.5,57,25,2024-05-29,154,False,False,False,2
STU000074,MA01,2023-08-10,Free,0,26.4,30,1072,41.7,34,17,2023-09-13,160,False,False,True,1
STU000074,BI01,2023-02-05,Free,0,41.5,47,1433,34.1,45,25,2023-06-06,105,False,True,False,1
STU000075,PH02,2023-12-30,Premium,3999,33.5,63,1838,62.9,60,43,2024-01-11,180,False,True,False,1
STU000075,CS03,2023-02-07,Premium,5999,46.6,53,1121,56.9,46,41,2024-02-05,47,False,True,False,3
STU000075,BI02,2023-12-04,Premium,3999,47.1,97,3321,73.2,94,50,2024-01-05,352,False,True,False,1
STU000076,BI03,2023-08-06,Free,0,40.5,92,3236,48.7,93,82,2024-01-24,166,False,True,False,2
STU000077,MA01,2023-06-11,Basic,2999,21.2,28,702,37.8,27,14,2024-06-02,314,False,False,True,12
STU000077,BI01,2023-10-29,Basic,999,20.6,24,696,54.7,22,10,2024-01-03,364,False,False,True,1
STU000077,PH01,2023-07-30,Basic,999,33.5,37,1162,47.0,40,20,2024-04-12,306,False,True,False,8
STU000078,CS03,2023-09-03,Basic,2999,57.2,65,1410,67.7,57,26,2024-07-31,342,False,False,False,6
STU000078,BI02,2023-09-22,Basic,2999,74.2,170,3540,46.7,148,66,2024-07-12,351,False,True,False,3
STU000079,CH03,2023-01-23,Basic,1499,64.7,161,5167,50.9,135,89,2023-12-27,78,False,True,False,6
STU000080,BI01,2023-03-10,Basic,2999,56.6,65,1629,65.5,62,46,2023-08-10,24,False,True,False,1
STU000080,PH01,2023-09-28,Basic,2999,39.4,41,1537,60.9,47,17,2024-06-13,316,False,False,False,1
STU000081,PH01,2023-12-04,Premium,5999,56.9,77,1917,82.2,68,63,2024-07-02,28,False,False,False,1
STU000081,CS01,2023-03-09,Premium,3999,100.0,67,2607,100.0,80,25,2023-06-07,71,True,True,False,0
STU000082,BI01,2023-07-17,Premium,9999,29.7,33,744,90.0,32,22,2023-12-31,219,False,False,False,3
STU000083,CH02,2023-04-17,Basic,999,49.5,79,2668,72.3,79,45,2023-08-23,203,False,True,False,6
STU000083,PH02,2023-01-28,Basic,2999,18.0,30,869,53.6,32,16,2023-02-10,234,False,True,False,3
STU000084,PH02,2023-04-18,Basic,1499,22.3,43,990,52.8,40,15,2023-12-07,88,False,True,False,1
STU000084,CS02,2023-03-28,Basic,999,72.0,102,2767,64.0,86,64,2023-10-22,64,False,True,False,1
STU000085,PH01,2023-05-22,Basic,1499,57.0,65,1861,66.0,68,51,2023-11-05,107,False,True,False,1
STU000085,MA01,2023-04-06,Basic,999,47.4,52,1400,49.7,61,16,2023-05-22,52,False,False,False,1
STU000086,BI03,2023-05-19,Free,0,30.3,69,2643,46.5,69,61,2024-01-16,153,False,False,False,6
STU000086,MA03,2023-07-02,Free,0,12.0,36,1079,38.3,31,23,2024-05-16,304,False,True,False,4
STU000087,CH01,2023-10-10,Free,0,36.0,42,894,27.9,36,15,2023-11-02,44,False,False,False,2
STU000088,CS01,2023-08-01,Premium,9999,70.1,49,1496,75.6,56,37,2023-10-08,322,False,True,False,12
STU000089,PH01,2023-12-16,Free,0,44.1,50,1279,37.3,52,40,2024-04-07,103,False,False,False,12
STU000089,CH01,2023-06-14,Free,0,42.8,47,999,50.1,42,24,2023-12-16,253,False,True,False,4
STU000089,MA01,2023-01-25,Free,0,23.2,35,708,34.7,30,13,2023-07-31,240,False,False,False,4
STU000090,CS03,2023-09-19,Free,0,21.0,20,675,28.9,21,12,2024-02-07,149,False,True,False,6
STU000090,CH03,2023-12-03,Free,0,20.2,34,1264,38.5,42,11,2024-09-06,313,False,True,False,4
STU000091,CH01,2023-09-21,Basic,1499,52.9,60,1417,62.0,52,43,2023-12-03,167,False,False,False,3
STU000091,MA01,2023-04-17,Basic,2999,32.7,34,1143,64.1,42,12,2023-09-26,339,False,False,False,2
STU000091,PH01,2023-09-26,Basic,2999,21.2,25,654,55.5,25,13,2023-10-11,349,False,False,True,1
STU000092,PH03,2023-03-02,Premium,9999,75.3,180,6440,78.8,180,143,2024-01-04,69,False,False,False,1
STU000093,PH01,2023-05-17,Basic,2999,42.8,45,1135,68.7,51,34,2023-07-28,332,False,True,False,4
STU000093,CS01,2023-08-02,Basic,1499,95.4,61,2388,67.7,76,53,2024-02-16,102,True,True,False,0
STU000094,MA03,2023-12-10,Premium,5999,76.4,165,6430,97.7,198,122,2024-08-14,53,False,True,False,1
STU000095,PH02,2023-05-29,Premium,5999,84.9,175,3897,64.7,152,65,2023-12-09,99,True,True,False,0
STU000095,CH03,2023-11-10,Premium,3999,100.0,249,6655,77.7,210,180,2023-12-08,322,True,True,False,0
STU000096,CH03,2023-08-19,Basic,999,23.2,51,1940,44.2,48,22,2024-02-06,310,False,False,True,1
STU000097,BI02,2023-05-12,Basic,1499,28.0,50,1833,54.2,56,38,2023-08-27,46,False,False,False,1
STU000097,PH03,2023-03-28,Basic,2999,46.0,123,3974,35.8,110,52,2023-06-04,306,False,False,False,1
STU000098,CH02,2023-02-26,Free,0,12.8,18,625,38.5,20,7,2023-11-30,350,False,True,False,4
STU000098,PH02,2023-05-01,Free,0,21.4,31,976,29.7,38,16,2024-02-02,132,False,True,False,4
STU000098,BI03,2023-06-11,Free,0,18.8,44,1634,29.5,43,22,2023-10-14,178,False,True,False,4
STU000099,CH03,2023-01-06,Free,0,32.2,75,2506,33.9,67,67,2023-07-31,46,False,False,False,3
STU000100,PH01,2023-09-19,Free,0,34.8,44,1362,36.5,41,38,2024-09-02,329,False,False,False,8
STU000101,CH01,2023-10-04,Free,0,34.0,28,933,46.8,34,9,2024-01-09,145,False,True,False,6
STU000102,MA02,2023-04-19,Free,0,15.5,29,1018,37.9,29,17,2023-07-17,138,False,False,True,12
STU000103,CS01,2023-07-10,Free,0,46.3,36,1122,44.1,37,15,2024-04-21,69,False,True,False,8
STU000103,BI01,2023-05-31,Free,0,56.4,56,1978,43.3,62,24,2024-02-12,106,False,True,False,2
STU000104,BI02,2023-06-09,Free,0,42.8,86,2168,42.3,85,27,2023-08-26,225,False,True,False,2
STU000105,PH01,2023-10-19,Basic,2999,50.6,62,1284,50.5,60,37,2024-06-29,232,False,False,False,3
STU000105,CS01,2023-09-03,Basic,999,53.7,41,1059,60.0,42,27,2023-11-11,257,False,True,False,8
STU000105,CH01,2023-03-03,Basic,1499,42.7,44,1514,51.0,42,34,2024-01-24,86,False,True,False,12
STU000106,PH01,2023-09-08,Basic,1499,35.2,38,1021,57.6,42,29,2024-09-04,281,False,True,False,2
STU000106,CH01,2023-10-16,Basic,2999,53.1,44,1501,52.9,53,30,2024-03-11,21,False,True,False,3
STU000107,CS02,2023-09-14,Premium,9999,100.0,117,3000,70.5,120,90,2024-02-09,198,True,True,False,0
STU000107,CH03,2023-03-26,Premium,9999,85.4,150,7112,94.4,179,56,2024-03-22,222,True,True,False,0
STU000107,CS03,2023-04-18,Premium,9999,100.0,87,3548,92.4,100,65,2023-08-02,37,True,True,False,0
STU000108,CH02,2023-07-05,Premium,5999,100.0,171,5501,100.0,160,89,2024-04-16,103,True,False,False,0
STU000108,PH03,2023-07-08,Premium,5999,100.0,228,7091,87.3,240,126,2023-12-18,130,True,False,False,0
STU000109,CH02,2023-11-22,Premium,3999,44.6,64,1659,78.9,71,29,2024-01-29,239,False,True,False,2
STU000110,BI01,2023-05-02,Basic,2999,58.3,61,1747,50.0,64,45,2023-12-21,127,False,False,False,1
STU000110,MA01,2023-11-30,Basic,1499,32.4,40,971,42.2,42,33,2024-11-04,215,False,True,False,3
STU000111,CS03,2023-02-04,Free,0,33.8,29,836,43.2,33,20,2023-10-10,300,False,False,False,6
STU000111,BI02,2023-12-28,Free,0,39.0,62,2362,31.7,78,30,2024-06-02,317,False,True,False,4
STU000112,CS02,2023-12-30,Basic,999,34.1,33,1404,61.4,40,15,2024-11-01,247,False,False,False,2
STU000112,PH03,2023-08-20,Basic,2999,63.8,164,5507,61.3,153,114,2024-08-04,85,False,True,False,1
STU000112,CH03,2023-05-30,Basic,999,22.6,47,1867,62.6,47,18,2024-04-03,345,False,True,False,1
STU000113,MA03,2023-05-21,Basic,999,31.2,92,2804,65.7,81,67,2023-11-01,38,False,True,False,3
STU000114,BI01,2023-08-07,Free,0,31.8,36,1099,39.0,34,24,2023-11-11,347,False,False,False,12
STU000115,PH01,2023-07-09,Free,0,30.7,38,1148,33.4,36,31,2023-09-22,145,False,False,False,4
STU000116,CH01,2023-04-10,Free,0,16.2,15,463,25.8,16,7,2023-06-05,265,False,False,False,8
STU000116,CS01,2023-05-17,Free,0,42.4,28,760,35.3,33,18,2024-02-10,187,False,False,False,6
STU000116,MA01,2023-01-03,Free,0,21.1,31,714,33.2,27,18,2023-07-16,32,False,False,True,6
STU000117,CH02,2023-11-16,Basic,1499,62.4,90,2625,67.2,99,65,2024-01-17,150,False,True,False,4
STU000117,BI02,2023-04-11,Basic,2999,56.7,99,4071,80.5,113,66,2023-12-27,313,False,True,False,1
STU000117,MA03,2023-05-30,Basic,1499,56.1,126,4017,57.0,145,111,2024-03-26,350,False,True,False,1
STU000118,CS02,2023-01-18,Premium,5999,79.5,113,3207,68.1,95,42,2023-01-27,22,False,True,False,1
STU000118,PH03,2023-02-27,Premium,9999,39.6,109,3186,64.8,95,75,2023-04-04,312,False,False,False,8
STU000119,PH03,2023-07-01,Basic,2999,68.2,188,6111,64.2,163,80,2024-06-28,288,False,False,False,1
STU000119,MA02,2023-04-15,Basic,1499,43.7,85,2605,60.9,83,28,2023-10-28,194,False,False,False,2
STU000120,CS03,2023-03-31,Free,0,51.9,58,1515,32.4,51,39,2024-03-10,62,False,True,False,6
STU000120,BI03,2023-09-08,Free,0,19.0,41,1251,40.3,43,32,2024-02-09,24,False,False,True,3
STU000120,CS02,2023-06-02,Free,0,43.6,52,1574,32.0,52,32,2023-11-12,40,False,True,False,4
STU000121,CS02,2023-08-03,Basic,2999,65.4,71,1967,65.4,78,44,2024-06-10,202,False,True,False,2
STU000121,CH02,2023-10-04,Basic,2999,53.1,69,2640,65.4,84,21,2024-06-19,182,False,True,False,2
STU000122,BI03,2023-01-17,Free,0,38.9,77,3233,48.8,89,30,2023-05-29,94,False,True,False,2
STU000122,MA03,2023-08-16,Free,0,16.7,41,1161,31.6,43,33,2023-11-02,153,False,True,False,4
STU000123,MA01,2023-10-25,Premium,5999,59.6,73,1933,77.3,77,64,2024-06-15,307,False,False,False,4
STU000124,BI02,2023-10-11,Premium,3999,83.8,189,3952,71.4,167,164,2024-07-28,111,True,False,False,0
STU000125,MA01,2023-02-21,Free,0,23.5,33,1031,34.2,30,21,2023-07-14,312,False,False,True,8
STU000126,CH01,2023-11-10,Premium,9999,95.0,81,2379,99.1,95,36,2024-07-15,182,True,False,False,0
STU000127,CS01,2023-01-05,Free,0,17.3,11,362,33.7,13,9,2023-01-22,81,False,True,False,2
STU000127,BI01,2023-09-02,Free,0,16.0,16,560,38.7,17,6,2024-08-31,178,False,True,False,1
STU000128,CH03,2023-09-05,Basic,2999,28.8,63,2437,62.6,60,56,2024-05-09,283,False,False,True,6
STU000128,BI03,2023-07-06,Basic,999,61.9,122,3793,64.5,142,62,2023-09-27,327,False,True,False,1
STU000128,CH02,2023-06-16,Basic,1499,62.0,79,3361,47.8,99,30,2023-12-03,267,False,True,False,2
STU000129,PH01,2023-07-12,Basic,999,44.0,60,1507,41.8,52,31,2023-12-20,313,False,True,False,6
STU000130,MA01,2023-12-20,Basic,1499,39.4,54,1265,33.7,51,41,2024-04-29,163,False,True,False,3
STU000131,CH02,2023-02-16,Premium,9999,59.8,88,2576,87.3,95,28,2024-01-05,293,False,True,False,8
STU000131,PH02,2023-10-12,Premium,9999,32.8,65,1274,93.3,59,48,2023-12-26,319,False,True,False,3
STU000132,CS03,2023-10-18,Basic,1499,94.6,93,3232,70.3,94,59,2023-12-01,16,True,True,False,0
STU000132,BI02,2023-06-08,Basic,2999,51.3,85,3139,54.0,102,38,2023-08-03,242,False,True,False,12
STU000132,CH03,2023-09-11,Basic,1499,34.9,77,2659,55.3,73,54,2023-11-11,127,False,False,False,12
STU000133,MA01,2023-07-14,Premium,9999,92.3,131,3530,70.5,119,103,2023-11-10,255,True,True,False,0
STU000134,CH01,2023-01-03,Basic,1499,40.6,32,1166,44.2,40,17,2023-06-17,346,False,True,False,3
STU000135,CH02,2023-02-12,Basic,1499,27.4,42,1202,71.6,43,19,2023-04-09,110,False,True,False,8
STU000135,MA03,2023-10-13,Basic,1499,43.8,133,3868,45.8,113,111,2024-09-06,205,False,True,False,4
STU000136,BI03,2023-06-02,Free,0,23.8,48,1622,44.1,54,41,2023-06-23,79,False,True,False,8
STU000137,PH01,2023-03-27,Basic,1499,30.0,33,1147,49.9,36,19,2024-01-23,54,False,True,False,3
STU000137,CS01,2023-11-29,Basic,1499,92.0,81,2384,75.9,73,41,2024-07-19,281,True,True,False,0
STU000138,MA03,2023-07-23,Premium,5999,43.9,131,2913,69.2,114,83,2024-03-22,149,False,False,False,3
STU000138,BI02,2023-04-18,Premium,3999,86.8,158,4942,100.0,173,100,2023-07-04,248,True,False,False,0
STU000138,CS03,2023-06-12,Premium,9999,100.0,115,2749,87.2,100,93,2024-02-29,340,True,False,False,0
STU000139,CS03,2023-08-19,Basic,2999,67.8,74,2097,63.2,67,55,2024-04-29,53,False,True,False,3
STU000140,BI01,2023-02-15,Free,0,43.0,54,1075,46.9,47,22,2023-08-21,238,False,False,False,3
