state_code,district_code,report_date,financial_year,month_num,job_cards_issued,active_job_cards,households_demanded,households_employed,households_100days,person_days_total,person_days_sc,person_days_st,person_days_women,person_days_pwd,avg_days_per_hh
RJ,RJ_D05,2019-11-01,FY2020,11,52869,42601,16177,13901,4672,330229,58034,44598,186669,3983,23.8
RJ,RJ_D01,2019-12-01,FY2020,12,69271,57203,24224,20770,6835,429194,64658,61942,225531,7032,20.7
RJ,RJ_D02,2019-12-01,FY2020,12,70861,63249,23647,20954,5022,410648,69695,53528,232074,10607,19.6
RJ,RJ_D03,2019-12-01,FY2020,12,65490,50013,17923,14935,3881,317303,64495,35238,167226,4080,21.2
RJ,RJ_D04,2019-12-01,FY2020,12,64549,54397,15299,12785,3710,219239,43696,29021,115074,2564,17.1
RJ,RJ_D05,2019-12-01,FY2020,12,72086,58111,19415,17527,5949,478403,93385,53856,251166,12219,27.3
RJ,RJ_D01,2020-01-01,FY2020,1,57750,46987,25256,21170,5261,426668,75997,39841,224909,5269,20.2
RJ,RJ_D02,2020-01-01,FY2020,1,60790,52395,24102,22089,4969,527610,106638,54563,304849,5404,23.9
RJ,RJ_D03,2020-01-01,FY2020,1,71525,54106,28885,25319,8826,531790,97440,78789,293221,12012,21.0
RJ,RJ_D04,2020-01-01,FY2020,1,62348,51011,24006,21167,6990,436422,72820,64164,250251,8341,20.6
RJ,RJ_D05,2020-01-01,FY2020,1,59816,47350,17289,15052,3321,420518,65039,62431,243552,10076,27.9
RJ,RJ_D01,2020-02-01,FY2020,2,57003,45398,29242,26054,4755,1054816,210279,155045,594434,23488,40.5
RJ,RJ_D02,2020-02-01,FY2020,2,53058,47216,31154,25925,4025,814041,161695,121484,430648,17813,31.4
RJ,RJ_D03,2020-02-01,FY2020,2,51807,46392,30277,27404,6679,878351,146161,82022,502314,23063,32.1
RJ,RJ_D04,2020-02-01,FY2020,2,72524,65235,36964,33221,11260,1310369,216002,153355,691546,38106,39.4
RJ,RJ_D05,2020-02-01,FY2020,2,59349,46547,27998,24774,5490,667175,126959,80873,377847,13612,26.9
RJ,RJ_D01,2020-03-01,FY2020,3,67584,56283,38381,34874,8045,1141562,173205,154462,636099,27490,32.7
RJ,RJ_D02,2020-03-01,FY2020,3,46185,35583,17266,14853,3980,564440,99481,81420,305302,11446,38.0
RJ,RJ_D03,2020-03-01,FY2020,3,65290,52851,37204,33756,11473,1113958,229024,133148,596518,21368,33.0
RJ,RJ_D04,2020-03-01,FY2020,3,71865,59209,35427,31397,6217,990500,156234,96754,524087,12655,31.5
RJ,RJ_D05,2020-03-01,FY2020,3,60511,47034,28429,25884,6336,1129012,181024,114636,589854,15104,43.6
RJ,RJ_D01,2020-04-01,FY2021,4,41125,31935,18343,15391,3727,590753,101524,71011,331662,6372,38.4
RJ,RJ_D02,2020-04-01,FY2021,4,55945,47227,26994,24520,8193,859628,143224,118948,485600,11768,35.1
RJ,RJ_D03,2020-04-01,FY2021,4,39155,31542,23160,20493,4585,906757,176680,83603,485247,22004,44.2
RJ,RJ_D04,2020-04-01,FY2021,4,58671,48506,36549,30622,7333,1404059,231035,149047,761894,14604,45.9
RJ,RJ_D05,2020-04-01,FY2021,4,42362,33115,22215,18638,6115,880589,167968,120949,484241,10336,47.2
RJ,RJ_D01,2020-05-01,FY2021,5,48481,40628,35471,30778,5402,1285100,220760,165463,712262,22003,41.8
RJ,RJ_D02,2020-05-01,FY2021,5,61269,51519,33983,28456,5138,1162535,185588,117641,624404,15656,40.9
RJ,RJ_D03,2020-05-01,FY2021,5,58715,44742,34911,30224,10471,1138433,197940,168679,651104,29987,37.7
RJ,RJ_D04,2020-05-01,FY2021,5,40536,31441,26436,24149,6311,1173747,195779,159828,623520,19335,48.6
RJ,RJ_D05,2020-05-01,FY2021,5,45304,37427,24769,20770,5652,869627,160771,86320,477310,17959,41.9
RJ,RJ_D01,2020-06-01,FY2021,6,34672,27754,16454,13719,4774,563008,111809,59272,315785,14190,41.0
RJ,RJ_D02,2020-06-01,FY2021,6,50147,41157,29012,24953,8381,1314331,273251,128091,741088,37809,52.7
RJ,RJ_D03,2020-06-01,FY2021,6,38355,29148,24423,21513,6849,792958,156780,80959,420124,10534,36.9
RJ,RJ_D04,2020-06-01,FY2021,6,56377,47908,35923,30930,10065,1318945,262464,153456,715681,25394,42.6
RJ,RJ_D05,2020-06-01,FY2021,6,41773,36014,26708,22684,7483,962870,175832,139027,536756,11879,42.4
RJ,RJ_D01,2020-07-01,FY2021,7,59941,50599,30388,25550,7889,1089694,198332,156516,618200,14202,42.6
RJ,RJ_D02,2020-07-01,FY2021,7,42068,33119,24767,20583,5433,937641,189971,103632,533775,11451,45.6
RJ,RJ_D03,2020-07-01,FY2021,7,57284,44058,27449,24741,4452,857936,165869,114278,479130,20486,34.7
RJ,RJ_D04,2020-07-01,FY2021,7,48641,38317,23160,19563,6488,819713,142671,96496,472840,10711,41.9
RJ,RJ_D05,2020-07-01,FY2021,7,49879,41194,28840,23927,7762,1172787,215684,154572,674762,28316,49.0
RJ,RJ_D01,2020-08-01,FY2021,8,37538,31398,18274,15843,4709,647729,133130,75816,341219,19235,40.9
RJ,RJ_D02,2020-08-01,FY2021,8,57069,43868,29665,26936,6835,944152,164225,88075,509947,24601,35.1
RJ,RJ_D03,2020-08-01,FY2021,8,33329,26664,13850,12152,4058,375349,64116,50390,205365,5439,30.9
RJ,RJ_D04,2020-08-01,FY2021,8,46072,35527,16090,14060,3287,570166,97922,71176,318116,5850,40.6
RJ,RJ_D05,2020-08-01,FY2021,8,52079,40450,27842,23433,5458,619824,130046,74460,344450,7029,26.5
RJ,RJ_D01,2020-09-01,FY2021,9,54538,42620,22824,19329,3636,396187,70649,49083,207579,10106,20.5
RJ,RJ_D02,2020-09-01,FY2021,9,46096,38197,16263,14065,3684,310994,50043,44070,179371,5431,22.1
RJ,RJ_D03,2020-09-01,FY2021,9,40902,34627,14477,12020,2178,357441,67747,32750,190629,5226,29.7
RJ,RJ_D04,2020-09-01,FY2021,9,52317,39392,13589,12251,2275,353776,58122,33950,189125,8648,28.9
RJ,RJ_D05,2020-09-01,FY2021,9,57547,50326,20901,18590,3550,445914,90868,40480,234163,6313,24.0
RJ,RJ_D01,2020-10-01,FY2021,10,33953,26388,9915,8594,2823,218479,37252,23063,118586,4764,25.4
RJ,RJ_D02,2020-10-01,FY2021,10,40825,34440,11768,10341,2453,202803,41961,27543,107162,5550,19.6
RJ,RJ_D03,2020-10-01,FY2021,10,47068,41616,17406,15093,2331,291672,53229,37336,156182,3729,19.3
RJ,RJ_D04,2020-10-01,FY2021,10,56956,51127,18636,15724,3214,260139,53291,25250,144270,4027,16.5
RJ,RJ_D05,2020-10-01,FY2021,10,48967,41509,17605,14911,2269,266320,54329,37932,148032,5861,17.9
RJ,RJ_D01,2020-11-01,FY2021,11,52121,40461,16370,14185,3214,287855,43989,28778,162431,3355,20.3
RJ,RJ_D02,2020-11-01,FY2021,11,50360,39623,12286,10499,2321,234487,39353,29072,128630,5457,22.3
RJ,RJ_D03,2020-11-01,FY2021,11,59855,51468,14343,11917,2412,251088,38437,30075,139557,4189,21.1
RJ,RJ_D04,2020-11-01,FY2021,11,55134,42232,10706,9581,2386,210989,37152,22108,120083,5483,22.0
RJ,RJ_D05,2020-11-01,FY2021,11,52965,41885,14502,12489,2102,304189,48125,44720,166318,4168,24.4
RJ,RJ_D01,2020-12-01,FY2021,12,48618,42829,17346,15649,4409,376071,75572,39479,206600,5424,24.0
RJ,RJ_D02,2020-12-01,FY2021,12,61302,54657,14711,13135,4400,240976,44358,34924,125798,5770,18.3
RJ,RJ_D03,2020-12-01,FY2021,12,41659,37020,16727,15303,3746,396622,79591,43289,225969,4259,25.9
RJ,RJ_D04,2020-12-01,FY2021,12,50165,39354,11218,9367,2709,188427,36457,17697,101546,3917,20.1
RJ,RJ_D05,2020-12-01,FY2021,12,55698,44436,17070,15525,4241,293859,44509,41788,153181,8079,18.9
RJ,RJ_D01,2021-01-01,FY2021,1,48249,42983,21994,20230,4453,615674,107198,73137,343330,16914,30.4
RJ,RJ_D02,2021-01-01,FY2021,1,61200,52952,22253,19288,5738,448395,70231,49896,240893,7141,23.2
RJ,RJ_D03,2021-01-01,FY2021,1,39845,30135,9772,8979,2115,226511,43213,23352,130696,5827,25.2
RJ,RJ_D04,2021-01-01,FY2021,1,35742,29045,15422,14109,3435,399882,63989,59770,213497,11538,28.3
RJ,RJ_D05,2021-01-01,FY2021,1,51684,43474,19260,16356,3030,376165,60632,51449,203508,4196,23.0
RJ,RJ_D01,2021-02-01,FY2021,2,60774,53637,36383,33455,6181,1061731,207562,139894,561903,27941,31.7
RJ,RJ_D02,2021-02-01,FY2021,2,39584,31016,17402,15358,4085,407835,82646,43204,215243,11327,26.6
RJ,RJ_D03,2021-02-01,FY2021,2,60391,53102,34136,30322,7888,802889,140109,90213,430015,19645,26.5
RJ,RJ_D04,2021-02-01,FY2021,2,47308,36056,16804,14970,2473,590873,106185,70216,328256,15654,39.5
RJ,RJ_D05,2021-02-01,FY2021,2,43095,36704,20910,17827,5806,687342,130256,96939,393185,16611,38.6
RJ,RJ_D01,2021-03-01,FY2021,3,57015,48726,35319,31254,9393,1038743,210711,147824,541969,27543,33.2
RJ,RJ_D02,2021-03-01,FY2021,3,36865,29501,22056,18588,5829,873181,157563,78920,469092,19505,47.0
RJ,RJ_D03,2021-03-01,FY2021,3,61118,51630,29611,26245,6771,1204877,188465,163455,665665,35254,45.9
RJ,RJ_D04,2021-03-01,FY2021,3,42926,36267,29576,24767,8357,1090562,168023,117843,613430,12374,44.0
RJ,RJ_D05,2021-03-01,FY2021,3,49763,39904,28073,23362,7576,1164810,242435,157225,614792,29312,49.9
RJ,RJ_D01,2021-04-01,FY2022,4,43867,33045,22116,19306,5870,951789,168232,101287,551873,17630,49.3
RJ,RJ_D02,2021-04-01,FY2022,4,59584,46150,39670,35378,6868,1257541,239976,162563,674539,36490,35.5
RJ,RJ_D03,2021-04-01,FY2022,4,48524,39539,36364,31513,8751,1347520,224298,200832,733805,37571,42.8
RJ,RJ_D04,2021-04-01,FY2022,4,51430,40216,22164,19680,4402,1051788,187631,155760,558637,28790,53.4
RJ,RJ_D05,2021-04-01,FY2022,4,71560,61945,54498,48939,13470,1794314,272648,260625,999431,46527,36.7
RJ,RJ_D01,2021-05-01,FY2022,5,60694,46588,28538,25429,6002,1011374,181537,94920,561229,15554,39.8
RJ,RJ_D02,2021-05-01,FY2022,5,72332,57616,43280,35882,5902,1591056,284474,200475,855192,38025,44.3
RJ,RJ_D03,2021-05-01,FY2022,5,74635,64706,37312,32543,5564,1326474,277498,130723,729472,29664,40.8
RJ,RJ_D04,2021-05-01,FY2022,5,68830,57400,32379,27782,7043,1030468,176248,94795,540701,18485,37.1
RJ,RJ_D05,2021-05-01,FY2022,5,47849,39960,33949,30610,5816,1193364,186491,152972,671134,12687,39.0
RJ,RJ_D01,2021-06-01,FY2022,6,77437,58681,44433,39689,12866,1984647,393165,219039,1129044,23026,50.0
RJ,RJ_D02,2021-06-01,FY2022,6,75913,63170,54875,47720,13300,2181236,422931,206994,1142141,32592,45.7
RJ,RJ_D03,2021-06-01,FY2022,6,48837,43014,26974,24756,5381,936488,184845,121296,514967,19766,37.8
RJ,RJ_D04,2021-06-01,FY2022,6,69446,54464,51250,47031,13171,1797881,343060,169597,938204,27244,38.2
RJ,RJ_D05,2021-06-01,FY2022,6,59998,52812,43954,39397,9262,1638062,282176,244495,855734,44785,41.6
RJ,RJ_D01,2021-07-01,FY2022,7,64271,52431,38856,33912,11010,1640469,287579,174889,911347,46338,48.4
RJ,RJ_D02,2021-07-01,FY2022,7,50719,42778,30259,27095,4777,1208513,247191,121795,645651,35564,44.6
RJ,RJ_D03,2021-07-01,FY2022,7,49626,43579,28640,24365,7897,952287,172258,106231,529068,12637,39.1
RJ,RJ_D04,2021-07-01,FY2022,7,57363,51363,29427,26143,5621,1196796,188917,177352,654919,17618,45.8
RJ,RJ_D05,2021-07-01,FY2022,7,45668,35413,23624,20293,6408,787167,129821,99992,442707,10501,38.8
RJ,RJ_D01,2021-08-01,FY2022,8,49134,37120,23048,20491,5018,806339,159929,100890,461303,11382,39.4
RJ,RJ_D02,2021-08-01,FY2022,8,47083,37217,15524,13612,4591,349404,54970,40926,201268,5703,25.7
RJ,RJ_D03,2021-08-01,FY2022,8,61640,46614,20720,19036,6529,477498,98893,61285,273164,9117,25.1
RJ,RJ_D04,2021-08-01,FY2022,8,61948,51003,30604,25733,4014,778032,149600,79445,436013,22872,30.2
RJ,RJ_D05,2021-08-01,FY2022,8,46420,39498,21057,19116,3544,702984,140798,103111,394370,14019,36.8
RJ,RJ_D01,2021-09-01,FY2022,9,65714,57850,26434,21961,7383,645160,122961,66413,360988,11533,29.4
RJ,RJ_D02,2021-09-01,FY2022,9,66943,51277,24504,22542,3598,750413,130882,106742,425441,16014,33.3
RJ,RJ_D03,2021-09-01,FY2022,9,70155,61861,25795,22134,6275,685859,134248,94558,374571,18076,31.0
RJ,RJ_D04,2021-09-01,FY2022,9,47388,39411,12665,10864,2425,275814,52881,31253,150848,4068,25.4
RJ,RJ_D05,2021-09-01,FY2022,9,56707,44463,15009,13260,3761,376916,67019,42511,215520,7682,28.4
RJ,RJ_D01,2021-10-01,FY2022,10,60607,45688,15001,12945,2974,294965,53688,37305,166918,7745,22.8
RJ,RJ_D02,2021-10-01,FY2022,10,69406,62002,16431,13900,2106,327120,66693,34219,188297,3665,23.5
RJ,RJ_D03,2021-10-01,FY2022,10,77372,62109,17472,15247,3070,297392,50091,41094,164264,4825,19.5
RJ,RJ_D04,2021-10-01,FY2022,10,65437,56107,17667,15300,2667,280793,53594,28328,154860,6789,18.4
RJ,RJ_D05,2021-10-01,FY2022,10,46897,39163,12208,11189,2760,283027,51797,26209,157925,8215,25.3
RJ,RJ_D01,2021-11-01,FY2022,11,65116,56838,22687,19260,3705,408928,71424,57410,234725,6979,21.2
RJ,RJ_D02,2021-11-01,FY2022,11,51684,44814,12972,11722,2751,255645,39812,32577,139864,5555,21.8
RJ,RJ_D03,2021-11-01,FY2022,11,49149,42294,16718,14175,2397,216042,40727,27313,119428,3162,15.2
RJ,RJ_D04,2021-11-01,FY2022,11,57357,48132,15855,14568,2582,321814,56079,37231,181199,7674,22.1
RJ,RJ_D05,2021-11-01,FY2022,11,79464,61128,15816,14149,3759,251801,38970,23956,144446,3484,17.8
RJ,RJ_D01,2021-12-01,FY2022,12,54870,43017,14240,11881,3015,203058,40209,21122,112169,5604,17.1
RJ,RJ_D02,2021-12-01,FY2022,12,66930,55548,18054,15501,4400,424505,80532,52412,239352,8194,27.4
RJ,RJ_D03,2021-12-01,FY2022,12,45176,37692,16931,14291,4115,265417,48345,25427,145189,6668,18.6
RJ,RJ_D04,2021-12-01,FY2022,12,55761,47382,19777,18062,3556,375266,59721,56120,216010,7805,20.8
RJ,RJ_D05,2021-12-01,FY2022,12,73969,61256,23504,19654,5916,349030,69653,47789,196337,3742,17.8
RJ,RJ_D01,2022-01-01,FY2022,1,54124,42729,17366,14519,4898,399732,67287,45497,218586,8798,27.5
RJ,RJ_D02,2022-01-01,FY2022,1,61951,55006,24162,22211,7113,507204,104400,49189,288622,8933,22.8
RJ,RJ_D03,2022-01-01,FY2022,1,75293,66273,34026,30646,6464,646645,112631,64930,363218,10942,21.1
RJ,RJ_D04,2022-01-01,FY2022,1,78888,66750,34536,29016,9354,944456,169268,119355,534456,12747,32.5
RJ,RJ_D05,2022-01-01,FY2022,1,61468,49776,17676,15233,2492,310007,49015,45814,171425,9088,20.4
RJ,RJ_D01,2022-02-01,FY2022,2,58888,46920,25892,22485,3847,807077,131523,102640,451165,10524,35.9
RJ,RJ_D02,2022-02-01,FY2022,2,45221,39211,21093,17577,6133,456690,87548,68056,244032,5866,26.0
RJ,RJ_D03,2022-02-01,FY2022,2,47432,37731,16236,14477,2351,487298,102236,67655,271382,7857,33.7
RJ,RJ_D04,2022-02-01,FY2022,2,65936,54664,28853,24237,7933,791249,127927,88671,431110,21008,32.6
RJ,RJ_D05,2022-02-01,FY2022,2,69977,60557,24423,21157,5210,535827,88726,72667,283038,11094,25.3
RJ,RJ_D01,2022-03-01,FY2022,3,50886,38257,21685,19902,6175,986648,176877,95294,545495,18832,49.6
RJ,RJ_D02,2022-03-01,FY2022,3,74055,56630,37136,31261,6719,1408060,251424,158481,765517,27019,45.0
RJ,RJ_D03,2022-03-01,FY2022,3,71870,63519,52334,47121,10040,2075112,365751,218468,1183752,22345,44.0
RJ,RJ_D04,2022-03-01,FY2022,3,76169,62399,44265,39336,12942,1690978,315935,158950,931905,21988,43.0
RJ,RJ_D05,2022-03-01,FY2022,3,70117,57975,42025,34957,5836,1559536,240675,147025,812091,45429,44.6
RJ,RJ_D01,2022-04-01,FY2023,4,75220,60400,39763,34203,10429,1669049,268903,167650,877759,38732,48.8
RJ,RJ_D02,2022-04-01,FY2023,4,76281,60243,32954,27535,9460,1113038,218326,141889,604286,15709,40.4
RJ,RJ_D03,2022-04-01,FY2023,4,50881,42854,36488,32373,8289,1120768,233242,154579,602490,33174,34.6
RJ,RJ_D04,2022-04-01,FY2023,4,69862,58499,49181,44394,12487,1624475,276641,236661,866619,28336,36.6
RJ,RJ_D05,2022-04-01,FY2023,4,63154,51528,40508,37055,7342,1350332,218548,193388,754496,21224,36.4
RJ,RJ_D01,2022-05-01,FY2023,5,78318,68857,63041,57527,11531,3047205,541282,428192,1717738,77791,53.0
RJ,RJ_D02,2022-05-01,FY2023,5,72006,55920,44115,40523,13675,1459943,233428,142933,822763,38477,36.0
RJ,RJ_D03,2022-05-01,FY2023,5,54520,45026,41113,36813,9514,1805687,325929,194748,1000172,42935,49.1
RJ,RJ_D04,2022-05-01,FY2023,5,80585,68130,59931,50505,12237,1778891,293162,237637,1030882,21317,35.2
RJ,RJ_D05,2022-05-01,FY2023,5,61946,53893,34798,30589,9073,1519063,244996,169106,861350,32028,49.7
RJ,RJ_D01,2022-06-01,FY2023,6,46293,40004,22115,19828,3777,1102230,189667,120821,583006,17759,55.6
RJ,RJ_D02,2022-06-01,FY2023,6,80716,72600,49900,43376,12770,2339890,434243,265557,1274672,55952,53.9
RJ,RJ_D03,2022-06-01,FY2023,6,46213,38954,26572,23943,4036,1128280,201802,145028,591095,24370,47.1
RJ,RJ_D04,2022-06-01,FY2023,6,68266,56940,44545,39655,12332,1579703,315155,189399,828749,17646,39.8
RJ,RJ_D05,2022-06-01,FY2023,6,59290,51447,42413,38195,9680,1670494,265353,183239,912158,19665,43.7
RJ,RJ_D01,2022-07-01,FY2023,7,54801,46018,34275,31527,10612,1359076,238211,174193,770785,16807,43.1
RJ,RJ_D02,2022-07-01,FY2023,7,62279,54554,33724,29697,7945,1002669,172192,110364,522963,10511,33.8
RJ,RJ_D03,2022-07-01,FY2023,7,78941,62439,41616,35601,12037,1256346,220839,178858,716765,17239,35.3
RJ,RJ_D04,2022-07-01,FY2023,7,77793,63691,41645,34993,5813,1569434,282164,182385,884800,39722,44.8
RJ,RJ_D05,2022-07-01,FY2023,7,52363,44065,23298,20901,5881,1034911,159518,96684,555676,15765,49.5
RJ,RJ_D01,2022-08-01,FY2023,8,55843,49473,23492,20039,6049,654184,128614,61442,359313,6981,32.6
RJ,RJ_D02,2022-08-01,FY2023,8,48561,43023,19006,16667,3870,515090,105073,47032,288361,15075,30.9
RJ,RJ_D03,2022-08-01,FY2023,8,68214,60746,25250,21879,4420,818798,171028,86294,457913,11432,37.4
RJ,RJ_D04,2022-08-01,FY2023,8,68418,56074,38780,34280,7538,923490,146903,95598,494120,24945,26.9
RJ,RJ_D05,2022-08-01,FY2023,8,68256,56550,24567,22285,6564,582760,112163,71453,305892,11169,26.2
RJ,RJ_D01,2022-09-01,FY2023,9,65233,50546,27647,25053,7110,658573,115056,84994,364010,7405,26.3
RJ,RJ_D02,2022-09-01,FY2023,9,66331,57771,24854,20697,6359,470619,77895,47006,254046,11829,22.7
RJ,RJ_D03,2022-09-01,FY2023,9,66603,51999,27594,25080,8128,583050,103243,86932,330193,6147,23.2
RJ,RJ_D04,2022-09-01,FY2023,9,48662,39882,21465,18836,4700,403739,76470,56251,219159,10300,21.4
RJ,RJ_D05,2022-09-01,FY2023,9,84186,65712,29281,25018,7719,696883,131066,96082,378935,19723,27.9
RJ,RJ_D01,2022-10-01,FY2023,10,67142,51947,20668,18621,3972,481611,98426,51346,278858,6171,25.9
RJ,RJ_D02,2022-10-01,FY2023,10,54066,42043,18361,16308,2942,346254,64721,32896,198384,9027,21.2
RJ,RJ_D03,2022-10-01,FY2023,10,66043,59113,20296,18642,5286,436066,69751,62320,237939,5775,23.4
RJ,RJ_D04,2022-10-01,FY2023,10,46584,38849,14173,12673,4157,218254,42317,22097,124730,5757,17.2
RJ,RJ_D05,2022-10-01,FY2023,10,67449,57772,18664,16262,5111,348700,59790,41722,198652,5824,21.4
RJ,RJ_D01,2022-11-01,FY2023,11,52950,45367,17633,14763,2922,242823,41492,28415,137177,5590,16.4
RJ,RJ_D02,2022-11-01,FY2023,11,70615,56693,22193,19338,6687,415153,65418,54206,223977,9850,21.5
RJ,RJ_D03,2022-11-01,FY2023,11,48837,37908,14936,12679,4024,226302,42674,29792,124637,3644,17.8
RJ,RJ_D04,2022-11-01,FY2023,11,54486,41135,12122,10765,3634,257135,50389,35306,143969,3909,23.9
RJ,RJ_D05,2022-11-01,FY2023,11,81923,69684,23753,19910,4766,392140,79162,48154,212863,11582,19.7
RJ,RJ_D01,2022-12-01,FY2023,12,50460,41043,11068,9917,3308,192898,38869,20742,110848,4837,19.5
RJ,RJ_D02,2022-12-01,FY2023,12,77882,58621,26392,23616,4981,603510,100720,85918,317901,14528,25.6
RJ,RJ_D03,2022-12-01,FY2023,12,67445,51560,15925,13204,3218,259948,48324,28031,139850,6463,19.7
RJ,RJ_D04,2022-12-01,FY2023,12,47988,42490,18208,16194,4350,425159,68501,40278,227192,11008,26.3
RJ,RJ_D05,2022-12-01,FY2023,12,47456,39740,18146,16453,4183,280472,56061,35322,147779,3331,17.0
RJ,RJ_D01,2023-01-01,FY2023,1,82019,69747,36200,32900,8697,889526,156401,96973,485748,22662,27.0
RJ,RJ_D02,2023-01-01,FY2023,1,69864,61751,26331,23272,6429,652711,125423,68042,359475,7887,28.0
RJ,RJ_D03,2023-01-01,FY2023,1,61275,50438,24035,22002,5943,662543,119506,84836,347342,9996,30.1
RJ,RJ_D04,2023-01-01,FY2023,1,60380,49564,16403,13792,2832,458071,77817,54474,243586,10176,33.2
RJ,RJ_D05,2023-01-01,FY2023,1,57174,44655,19825,16425,2488,377435,57446,36415,203940,9832,23.0
RJ,RJ_D01,2023-02-01,FY2023,2,68684,56794,27718,25326,5809,670647,125427,64938,362627,13512,26.5
RJ,RJ_D02,2023-02-01,FY2023,2,80620,66433,40569,37296,6575,1106588,192186,127600,602715,31152,29.7
